taxon	cytb	NADH5	tRNA-Pro	ATP8	BRCA1	rag1	rho	FES	ghr	APOB	
Lontra felina	AF057122,GQ843789,GQ843791	GQ843798,GQ843796,GQ843802	GQ843786,GQ843771,GQ843778	JQ038864	EF472305	EF472404	AF498212	AF498164	AF498188	EF472288	
Lontra longicaudis	JQ038821,AF057123,HM997014	JQ038835,HM997011,JQ038839	HM997013,JQ038821,JQ038818	JQ038856,JQ038858,JQ038863	AB564036,EF472306	EF472405,AB564041	AF498213,AB564043	AB564038,AF498165	AB564039,AF498189	AB564035,EF472289	
Lontra provocax	GQ843814,DQ341273,GQ843815	GQ843823,GQ843821,GQ843820	GQ843807,GQ843805,GQ843812	JQ038865							
Lontra canadensis	AF418979,AB564033,AF057121	EF472374,JQ038848	JQ038823,AB601558	JQ038866,AY598552	AB285345,EF472304	AB285381,EF472403	AF498211,AB564034	AF498163,AB564031	AF498187,AB564032	AB285335,EF472287	
