time	diversity	m_div	M_div	median_genus_age	m_age	M_age	turnover	m_turnover	M_turnover	life_exp	m_life_exp	M_life_exp	
24	0.0	0	0	NA	NA	NA	1.0	1	1	NA	NA	NA
23	1.0	1	1	0.926635240862	0.926635240862	0.926635240862	1.0	1.0	1.0	3.75621617734	3.75621617734	3.75621617734
22	4.0	4	4	0.448876853224	0.448876853224	0.448876853224	0.75	0.75	0.75	0.911185033859	0.911185033859	0.911185033859
21	7.0	7	7	0.971870342966	0.971870342966	0.971870342966	0.571428571429	0.571428571429	0.571428571429	7.26297850608	7.26297850608	7.26297850608
20	11.0	11	11	1.45750347798	1.45750347798	1.45750347798	0.454545454545	0.454545454545	0.454545454545	7.63241485193	7.63241485193	7.63241485193
19	13.0	13	13	1.75916114301	1.75916114301	1.75916114301	0.230769230769	0.230769230769	0.230769230769	9.95689246501	9.95689246501	9.95689246501
18	15.0	15	15	2.27583033625	2.27583033625	2.27583033625	0.333333333333	0.333333333333	0.333333333333	9.20025027778	9.20025027778	9.20025027778
17	21.0	21	21	1.81489282248	1.81489282248	1.81489282248	0.285714285714	0.285714285714	0.285714285714	4.63241485193	4.63241485193	4.63241485193
16	26.0	26	26	2.10560420765	2.10560420765	2.10560420765	0.230769230769	0.230769230769	0.230769230769	3.35042821506	3.35042821506	3.35042821506
15	28.0	28	28	2.98576968989	2.98576968989	2.98576968989	0.178571428571	0.178571428571	0.178571428571	2.61982483049	2.61982483049	2.61982483049
14	29.0	29	29	3.88562048046	3.88562048046	3.88562048046	0.137931034483	0.137931034483	0.137931034483	4.16865341525	4.16865341525	4.16865341525
13	28.0	28	28	4.98576968989	4.98576968989	4.98576968989	0.0357142857143	0.0357142857143	0.0357142857143	3.33561715437	3.33561715437	3.33561715437
12	21.0	21	21	6.08591889932	6.08591889932	6.08591889932	0.0952380952381	0.0952380952381	0.0952380952381	2.95689246501	2.95689246501	2.95689246501
11	22.0	22	22	5.14726953985	5.14726953985	5.14726953985	0.181818181818	0.181818181818	0.181818181818	2.07857137139	2.07857137139	2.07857137139
10	28.0	28	28	4.61388993263	4.61388993263	4.61388993263	0.321428571429	0.321428571429	0.321428571429	2.29030793379	2.29030793379	2.29030793379
9	25.0	25	25	6.17986310795	6.17986310795	6.17986310795	0.04	0.04	0.04	1.73179672553	1.73179672553	1.73179672553
8	22.0	22	22	3.03026399807	3.03026399807	3.03026399807	0.136363636364	0.136363636364	0.136363636364	1.55128144104	1.55128144104	1.55128144104
7	20.0	20	20	3.69571366826	3.69571366826	3.69571366826	0.1	0.1	0.1	0.888474372241	0.888474372241	0.888474372241
6	17.0	17	17	4.67828515367	4.67828515367	4.67828515367	0.176470588235	0.176470588235	0.176470588235	0.806037180952	0.806037180952	0.806037180952
5	21.0	21	21	1.52144119231	1.52144119231	1.52144119231	0.380952380952	0.380952380952	0.380952380952	1.37077636565	1.37077636565	1.37077636565
4	22.0	22	22	1.24108483104	1.24108483104	1.24108483104	0.363636363636	0.363636363636	0.363636363636	1.28759640618	1.28759640618	1.28759640618
3	23.0	23	23	1.33201495788	1.33201495788	1.33201495788	0.304347826087	0.304347826087	0.304347826087	1.24045365606	1.24045365606	1.24045365606
2	35.0	35	35	1.02003265052	1.02003265052	1.02003265052	0.485714285714	0.485714285714	0.485714285714	1.99784929261	1.99784929261	1.99784929261
1	41.0	41	41	1.45627022457	1.45627022457	1.45627022457	0.243902439024	0.243902439024	0.243902439024	1.54193109193	1.54193109193	1.54193109193
0	47.0	47	47	1.96634744824	1.96634744824	1.96634744824	0.31914893617	0.31914893617	0.31914893617	1.13025829613	1.13025829613	1.13025829613
