taxon	cytb	BRCA1	ApoB	IRBP	TRSP	Rag1	12S-rRNA	vWF	unknown	cytochrome-b	
Macropus robustus	EF368025	FJ603185,AY211953	FJ603157	FJ603211	EF368043,EF368044	FJ603239	AY245608	FJ603266	AJ225164		
Macropus agilis	DQ019617,EF368029	FJ603177	FJ603150	FJ603204	EF368052,EF368051	FJ603231		FJ603259		DQ019617	
Macropus parma	EF368030	FJ603183	FJ603155	FJ603209	EF368047	FJ603237		FJ603264			
Macropus antilopinus	EF368024	FJ603178	FJ603151	FJ603205	EF368042	FJ603232		FJ603260			
Macropus fuliginosus	AY099271,JN003400	FJ603180	FJ603143	FJ603207		FJ603234		FJ603262	EF555431,EF555424,EF555360	AY099271	
Macropus eugenii	AY099281,EF368028,AY237226	FJ603179	FJ603152	FJ603206	EF368049,EF368050	FJ603233	AY012092,AY245606,L28086	FJ603261		AY099281,AY237226,AY099280	
Macropus rufus	EU107383,HQ122581,U87136	AF284033,FJ603121,AY211956	FJ603117	FJ603127	EF368041	FJ607154	JN966999,U87406	FJ603138	AJ225136,AJ225142,AJ225135	AY099270	
Macropus irma	JN967002,AY099272	FJ603182	FJ603154,JN967008	FJ603208,JN967009		FJ603236	JN966998	FJ603263		AY099272	
Macropus giganteus	U87137,HQ122580,EU107382	FJ603181	FJ603153	AJ429135	EF368046,EF368045	FJ603235	X86941	AJ224670	EF555437,EF555441,EF555438	AY099267,DQ019618	
Macropus rufogriseus		FJ603186	FJ603158	FJ603212		FJ603240	AY245607,JN003394	FJ603267			
Macropus parryi		FJ603184	FJ603156	FJ603210		FJ603238	AY245610	FJ603265		AY237229	
