taxon	COI	IRBP	DMP1	CYTB	cyt-b	cytb	unknown	BRCA1	unknown.1	unknown.2	
Micoureus demerarae	GU112829,EU597274,EU597273	AF257691,AF257693	EU327801,EU327796,EU327799	U34673,AJ606439,EF587291	AJ606435,EF587298,U34674	JQ478416,JQ478419	DQ865908	FJ159304	FJ159354	AF128232,AJ628384	
Marmosa mexicana	EU095428,JQ599987,JF457778	AY233770,AY233771	DQ083136				DQ865898	FJ159294	FJ159344	AJ628377	
Micoureus paraguayanus	GU112839,GU112838,GU112831	AY233778	EU327807,EU327812,EU327805	EF587304,EF587289,JN887141		JQ478418,JQ478415	DQ865909	FJ159305	FJ159355		
Micoureus regina	JF444330,JF457826,EU597272	AY233779,AY233780	DQ083148,EU327817	HM106371,EF587310,JN887142	JN887142,U34675,HM106371		DQ865910	FJ159306	FJ159356		
Marmosa murina	EU096775,GU112807,GU112811	AY233772,AY233773,AF257709	DQ083137			AJ487103,JQ478422,AJ487101	DQ865899	FJ159295	FJ159345	AJ628378	
Marmosa lepida	EU095427	AY233769,AF257681	DQ083135		U34668,AJ606453,HM106376		DQ865897	FJ159293	FJ159343	AJ628376	
Marmosa robinsoni		AY233774,AY233775	DQ083138				DQ865900	FJ159296	FJ159346	AF128231	
Marmosa rubra		AY233776	DQ083139				DQ865901	FJ159297	FJ159347		
Micoureus constantiae						JQ478420,JQ478417					
