taxon	unknown	unknown.1	
Bradypus variegatus	HM352905,AY245745,EF405899	HM352893,HM352898,AF232013	
Bradypus torquatus	HM352908,AY245750,EF405904	HM352900	
Bradypus tridactylus	HM352907,EF405903,EF405902	HM352894,HM352897	
