taxon	CYTB	COX2	NAD2	IRBP	unknown	BRCA1	VWF	NAD2.1	DMP1	
Thylamys pallidior	HM583390,AY803308,AY803298	HM583511,HM583514,HM583515	HM583550,HM583546,HM583547	AF257689	DQ865919	FJ159318	FJ159367	HM583548	DQ083157	
Thylamys karimii	EF051700,EF114742,EF114743	HM583509	HM583544							
Thylamys sponsorius	HM583436,HM583437,HM583447	HM583520,HM583521,HM583523	HM583554,HM583557,HM583556							
Thylamys venustus	HM583469,AY803335,HM583470	HM583526,HM583530,HM583529	HM583563,HM583561,HM583562	AY233790,AY233791	DQ865921	FJ159320	FJ159369		DQ083159	
Thylamys citellus	GQ911595,GQ911593,GQ911594									
Thylamys pusillus	AF431927,HM583369,AY803320	HM583506,HM583505,HM583504	HM583539,HM583551,HM583553	AY957489	DQ865920	FJ159319	FJ159368		DQ083158	
Thylamys macrura	AF431926,HM583382,HM583383	HM583510	HM583545	AY957491	DQ865918	FJ159317	FJ159366		DQ083156	
Thylamys elegans	AF434177,HM583378,AF434178	HM583507,HM583508	HM583543,HM583542							
Thylamys velutinus	HM583450,HM583451	HM583525						HM583560,HM583559		
Thylamys cinderella	AY803329,AY803331,AY803333									
Thylamys tatei	HM583448,HM583449							HM583558		
