taxon	cytochrome-b	12S-ribosomal-RNA	Syfl-DQA	control-region	cytochrome-b.1	TSHB	MGF	PRKC1	beta-spectrin	thyroglobulin	
Sylvilagus audubonii	HQ901072,HQ901073,AY292722	U58928,U67285,AY292696,U02586	EU686558	HQ143445,HQ143443,HQ143444	HQ901073,HQ901072,HQ901076	AY292670	AY292746	AY292773	AY292815	AY292841	
Sylvilagus transitionalis	AF034256		EU686570,EU686569								
Sylvilagus robustus	HQ143453,HQ143449,HQ143451			HQ143412,HQ143415,HQ143414							
Sylvilagus nuttallii	HQ901057,HQ901058,AY292723	U63886,AY292697			HQ901058,HQ901057	AY292671	AY292747	AY292774	AY292816	AY292842	
Sylvilagus floridanus	AY292724,HQ901060,HQ901061	GQ387168,AY012126,GQ387165,AY292698	EU686564,EU686565,EU686566	HQ143434,HQ143437,HQ143439	HQ901062,HQ901061,HQ901060	JN037131,AY292672	AY292748	AY292775,JN037025	AY292817,JN037053	AY292843	
Sylvilagus aquaticus	AY292726,U58937	U58927,AY292700,GQ387162,GQ387163	EU686557			AY292674	AY292750	AY292777	AY292819	AY292845	
Sylvilagus palustris	AY292727,JQ955690,JQ955695	U63885,AY292701	EU686568			AY292675	AY292751	AY292778	AY292820	AY292846	
Sylvilagus obscurus	AY292725	AY292699,U63887				AY292673	AY292749	AY292776	AY292818	AY292844	
Sylvilagus brasiliensis			EU686563,EU686561,EU686559								
Sylvilagus cunicularis							JN036997				
