taxon	cytb	unknown	PRKCI	MGF	unknown.1	SPTBN1	12S-ribosomal-RNA	HPX	DARC	Alb	
Lepus mandshuricus	DQ793161,AY745120,AY650900	HM233289,AY745090,AY745094	HM233527,HM233522,HM233526	HM233326,HM233327,HM233664	HM233545,HM233548	HM233498,HM233507	AY745160,AY745159,AY745158				
Lepus comus	AJ279409,AJ251326,HM233074	AJ241574,AJ241570,HM233217	HM233532	HM233621,HM233620,HM233624	HM233536,HM233537,HM233556	HM233501	AY745181,AY745179,AY745180				
Lepus hainanus	AY599077,HM232986,AY745116	AY745098,HM233223,AY745100	HM233516	HM233633,HM233638,JF750686	HM233553	HM233487	AY745185,AY745184				
Lepus townsendii	HQ901067,HQ901069,HQ596485	AY422328,JN037406,JN037405	JN037022,AY292780,JN037021	AY292753,JN036993	JN037077	JN037051,AY292822,JN037049	AY292703	JN036965,JN036966,JN036967	JN036938,JN036939,JN036937	JN036885,JN036883	
Lepus capensis	EU285253,EU285254,AY596962	JN037391,HM233307,HM233308	JN037007,HM233508,HM233529,HM233528	HM233559,HM233562,JN036981	JN037063,AY176278,JN037061	JN037035,JN037037,HM233494	U58925,AY745167,AY745166	JN036952,JN036953,JN036951	JN036924,JN036925,JN036923	JN036870,EU196207,EU196206	
Lepus granatensis	AY176201,AY176223,HQ596476	AY103535,JF299052,AF157432	JN036998,FJ811667,FJ811666,JN036999	FJ811693,FJ811695,FJ811691	FJ811614,JN037054,HQ174291	FJ811639,FJ811644,JN037026		FJ811723,JN036942,JN036943	FJ811747,FJ811752,FJ811751	FJ811798,FJ811802,FJ811803	
Lepus californicus	HQ901063,HQ596465,HQ901064	JN037402,JN037403,JN037404	JN037019,JN037018,AY292782,JN037020	JN036990,JN036992,AY292755	JN037074,JN037072	AY292824,JN037046,JN037048	AY292705,U58924	JN036962,JN036964,JN036963	JN036934,JN036935,JN036936	JN036882,JN036880	
Lepus brachyurus	AJ534883,AB514231,AJ534884	AB690393,AB690394,AB690397					AB058613,AB058612				
Lepus timidus	EU285247,HM233076,AJ250144	Y15312,DQ067415,HM126482	FJ811685,FJ811689,FJ811687	FJ811716,FJ811715,HM233602	FJ811638,FJ811635,FJ811634	FJ811659,FJ811661,AY292821	AY745154,AY745157,AY745168	FJ811746,FJ811745,FJ811744	FJ811767,FJ811769,FJ811768	EU196204,FJ811819,EU196205	
Lepus oiostolus	AY745111,AY745110,HM233064	HM233208,AY745096,AY745097	HM233510,HM233523	HM233625,HM233626	HM233557,HM233558,HM233551	HM233504,HM233505	AY745187,AY745178,AY745177				
Lepus tolai	AY649598,AY649611,AY649605										
Lepus insularis	HQ596478,HQ596477,HM222713										
Lepus castroviejoi	JN037350,AY176235,AY942569	EU196208,EU196209,DQ883207	JN037002,FJ811682,FJ811679	FJ811709,FJ811707,FJ811711	EU196167,FJ811632,AY176268	JN037030,FJ811657,FJ811656		FJ811735,FJ811736,FJ811734	FJ811760,FJ811764,JN036918	EU196194,FJ811815,EU196193	
Lepus arcticus	JN037365,HQ596461,JN037363	DQ067333,AY422231,AY422233	JN037012,JN037010,JN037011	JN036984,JN036983	JN037065,JN037066	JN037040,JN037039,JN037038		JN036954,JN036955,JN036956	JN036927,JN036926,JN036928	JN036873,JN036874,JN036872	
Lepus alleni	AF010156,AF010157,HQ596458										
Lepus callotis	AF010158,HQ596468,HQ596467										
Lepus othus	HQ596479,AF010154,JN037367	AY422253,JN037398,AY422260	JN037013,JN037014	JN036985,JN036986	JN037067,JN037068	JN037041,JN037042		JN036957,JN036958	JN036929,JN036930	JN036875,JN036876	
Lepus flavigularis	HQ596475										
Lepus sinensis	AJ279418,HQ596481,JN709881	AY745089,HM233291,AJ287982	HM233514,HM233521,HM233520	HM233698,HM233690,HM233565	HM233542,HM233538	HM233506,HM233490,HM233489	AY745175,AY745174,AY745171				
Lepus americanus	JN037370,HQ596460,JN037369	JN037400,HM771307,JN037401	AY292784,JN037016,JN037015,JN037017	AY292757,JN036988,JN036987	JN037071,JN037069,JN037070	JN037045,JN037044,AY292826	U58923,AY292707	JN036961,JN036959,JN036960	JN036932,JN036931	JN036877,JN036878,JN036879	
Lepus coreanus	AB687531,HQ596472,AB687533	AY422326,FJ932764									
Lepus corsicanus	FJ650494,AF157464,FJ650495	AF157425,JN037389,EF515867	JN037003,JN037006	JN036978,JN036977	HQ174285,AY176270,JN037060	JN037031,JN037034		JN036948,JN036950	JN036922	EU196198,JN036868,JN036867	
Lepus europaeus	GU452784,HQ596474,FJ650496	JQ001814,JQ001815,DQ883204	FJ811678,FJ811671,FJ811677	FJ811703,FJ811701,JN036972	FJ811622,HQ174288,HQ174287	JN037029,JN037028,FJ811645	AY745182,AY745183	FJ811729,FJ811728,FJ811733	FJ811758,FJ811756,FJ811755	FJ811809,JN036865	
Lepus saxatilis	HQ596480,EU285252,AY176248	AF491399,DQ207748,AF491403	AY292781	AY292754	AY176279	AY292823	AY292704				
Lepus yarkandensis	AY838941,AY839040,AY839078	EU734386,AY745102,EU734211	HM233533,HM233519,HM233517	HM233581,JF750674,HM233579	HM233554,HM233555,HM233549	HM233492,HM233488	AY745170,AY745169				
Lepus starcki		AF157456									
Lepus habessinicus		AF157455									
