Iteration	posterior	NumSpeciation	numExtinction	numMassExtinctions 
100	-233.002971131428	1	3	1
200	-238.264011257737	1	1	4
300	-243.258691725411	2	1	4
400	-241.732326605362	2	2	3
500	-238.606456965881	5	3	0
600	-235.810868921171	2	4	1
700	-239.20379348353	4	4	0
800	-234.31050048196	3	2	1
900	-242.139463357082	5	1	2
1000	-234.13899696903	3	2	1
1100	-244.014518678899	3	2	3
1200	-241.325586388795	3	2	2
1300	-250.046772771502	4	5	2
1400	-239.798352625265	4	1	2
1500	-236.035577903668	3	2	2
1600	-252.137885726234	7	3	1
1700	-238.735064886425	4	1	2
1800	-234.539577498641	2	3	0
1900	-243.308457247852	3	3	2
2000	-238.219567891096	2	3	1
2100	-243.146654030456	1	5	1
2200	-233.975924804876	3	2	0
2300	-231.012794093873	2	1	1
2400	-249.90987402026	2	2	3
2500	-255.880609097534	5	3	3
2600	-240.078558369437	6	2	0
2700	-227.014633834245	3	2	0
2800	-235.431892250651	2	3	1
2900	-240.341506104868	3	3	2
3000	-242.85034329445	3	1	3
3100	-243.492191658338	3	4	2
3200	-245.623142209306	2	5	2
3300	-242.287902111747	1	1	4
3400	-242.928853279294	1	4	2
3500	-248.171045608619	2	3	4
3600	-241.260951312871	2	4	1
3700	-258.635265296382	1	3	6
3800	-243.620844592222	1	2	4
3900	-235.169394471627	2	1	2
4000	-251.300289851732	3	2	3
4100	-263.232441683059	2	2	7
4200	-237.792704573086	1	5	1
4300	-244.885896798704	1	2	4
4400	-239.793160100483	1	1	4
4500	-233.007165717751	1	2	2
4600	-236.936025502837	2	2	2
4700	-242.761449451857	2	4	2
4800	-234.792322282621	3	2	0
4900	-243.333621925691	1	3	3
5000	-245.051059384347	2	1	4
5100	-233.633428545709	2	1	2
5200	-238.603647579498	3	2	2
5300	-234.468465014281	5	1	1
5400	-234.951873284333	3	2	1
5500	-236.115038144322	2	3	0
5600	-257.611793764483	3	3	4
5700	-241.397114154692	3	2	2
5800	-254.591003261618	4	1	4
5900	-251.721885404646	6	3	2
6000	-232.755047227747	2	2	1
6100	-236.367663615001	2	4	1
6200	-232.390711555371	4	2	0
6300	-238.904634072084	3	4	1
6400	-241.726799975815	5	1	2
6500	-244.118979457606	4	2	3
6600	-247.310480756785	1	6	2
6700	-243.63812493564	2	3	3
6800	-244.21911575497	1	1	4
6900	-237.971246811234	4	3	0
7000	-260.098679262977	6	5	2
7100	-234.581419599293	3	1	2
7200	-248.849487622246	6	2	2
7300	-245.119959073993	4	2	3
7400	-243.101955446473	3	2	3
7500	-260.238975390076	1	3	6
7600	-247.81297709427	3	3	3
7700	-256.060971705635	1	2	6
7800	-234.249926018853	2	2	2
7900	-242.079032491688	1	5	1
8000	-243.759369347717	2	2	3
8100	-241.999015789537	2	1	3
8200	-226.982181528184	1	1	1
8300	-238.421089726227	2	1	2
8400	-241.453062643802	2	2	2
8500	-244.612459305856	5	3	2
8600	-232.022406528576	2	3	1
8700	-243.438651437484	3	3	2
8800	-240.740749268077	4	1	2
8900	-234.905964468749	3	3	1
9000	-234.860625291682	3	1	2
9100	-233.745901435159	2	1	2
9200	-245.53649347733	4	2	3
9300	-242.85568826605	3	2	3
9400	-239.936546709399	3	3	2
9500	-230.799597747006	3	2	1
9600	-246.385486455763	6	2	1
9700	-244.1394906984	2	2	2
9800	-239.496303767639	3	2	2
9900	-246.631918192484	1	3	3
10000	-253.324443820682	3	6	0
10100	-240.773235534801	1	4	2
10200	-237.799025162722	1	2	2
10300	-234.429660457528	2	3	1
10400	-250.145232037429	4	2	2
10500	-254.395016091364	1	2	6
10600	-250.935598662453	2	2	5
10700	-232.593839565244	3	2	1
10800	-237.528397148117	3	1	2
10900	-240.949076877502	3	5	1
11000	-232.603240677052	2	3	1
11100	-239.810140632578	2	5	0
11200	-246.305242103166	3	5	1
11300	-248.346559536011	4	4	2
11400	-246.229314532902	2	1	4
11500	-260.99846192932	7	1	4
11600	-231.343593028658	1	2	1
11700	-254.94369852941	2	4	4
11800	-236.38611978702	2	2	2
11900	-249.389303535217	3	2	4
12000	-242.762138557902	2	2	3
12100	-245.235550605521	3	4	2
12200	-244.131447602786	4	3	2
12300	-236.956172003178	3	3	0
12400	-230.604458517031	1	1	1
12500	-233.811545093213	2	1	1
12600	-232.351438656686	2	2	1
12700	-241.977340731153	3	3	2
12800	-235.983134352891	1	3	2
12900	-250.126990243523	5	4	1
13000	-252.234284702699	3	3	4
13100	-261.681346193209	3	2	5
13200	-246.169553286779	2	3	4
13300	-246.471108700228	2	3	3
13400	-241.285245735909	4	2	2
13500	-233.929485015609	2	2	1
13600	-249.090592426804	3	3	3
13700	-245.024701901651	4	2	2
13800	-234.424792036768	3	2	1
13900	-231.147335007594	3	2	1
14000	-247.273135737078	4	2	3
14100	-241.759559071796	3	4	1
14200	-252.274808459204	3	3	3
14300	-234.365072961255	3	3	1
14400	-242.308209826304	3	3	1
14500	-264.164949678422	5	4	5
14600	-254.143600736848	7	3	2
14700	-236.514515396824	3	3	0
