Iteration	posterior	NumSpeciation	numExtinction	numMassExtinctions 
100	-239.605896010643	4	4	1
200	-227.889110117288	4	2	0
300	-238.976493254035	5	3	1
400	-234.376024249759	3	2	1
500	-233.257425984502	3	4	1
600	-237.337968513398	3	1	3
700	-237.62776551192	4	5	1
800	-227.70260831805	4	2	0
900	-238.770825358067	3	3	2
1000	-240.504649883522	5	1	3
1100	-229.135852678611	3	3	1
1200	-234.804479955279	3	4	1
1300	-240.244857099084	6	4	1
1400	-247.461655468026	3	7	2
1500	-228.081500884678	3	2	1
1600	-231.604615257677	4	3	0
1700	-247.773172728812	2	1	5
1800	-245.647782515999	4	2	3
1900	-234.613378211504	2	1	2
2000	-262.248955625863	6	5	4
2100	-247.672220541107	6	3	3
2200	-231.3856233654	2	1	2
2300	-239.173773463432	3	5	2
2400	-238.190262724961	5	2	1
2500	-251.496317927192	4	3	3
2600	-234.616022915339	2	5	2
2700	-242.678855000896	4	3	2
2800	-235.170881480161	4	3	1
2900	-230.013542742044	3	1	1
3000	-241.034073368555	5	3	1
3100	-236.575187710812	4	3	1
3200	-236.889329471227	5	2	1
3300	-262.462405760593	6	2	5
3400	-234.216939885849	4	3	1
3500	-235.488045414265	7	2	0
3600	-225.614805641958	3	1	0
3700	-239.86003071024	3	4	2
3800	-237.444730994936	3	4	1
3900	-230.80056124475	2	2	2
4000	-239.810305087063	2	5	2
4100	-244.420654655383	3	3	4
4200	-233.78181389917	2	1	2
4300	-248.299448613655	2	1	4
4400	-227.436346411817	4	1	0
4500	-246.459544733735	4	3	4
4600	-247.141161903215	6	4	2
4700	-244.379774242307	5	4	1
4800	-239.978336173393	2	2	2
4900	-251.420993690761	3	4	4
5000	-235.404110710874	1	4	3
5100	-232.99374128036	2	4	2
5200	-252.30982102913	4	5	3
5300	-239.400105602345	1	2	3
5400	-260.468318104248	3	2	6
5500	-232.040720173447	1	2	1
5600	-238.233496756391	2	3	2
5700	-249.683272583475	2	5	3
