Species	Status	MinT	MaxT	Trait
Elephas maximus	extant	0.781	2.588	2720000
Castor fiber	extant	0.126	0.781	19000
Sicista subtilis	extant	0.0117	2.588	11,8
Atherurus macrourus	extant	0.0117	0.126	2000
Hystrix cristata	extant	0	0.0117	12500
Apodemus sylvaticus	extant	0.126	0.781	39,4
Arvicola terrestris	extant	0.0117	2.588	120
Chionomys nivalis	extant	0.0117	0.126	54
Clethrionomys rutilus	extant	0.3	1.8	27,5
Cricetus cricetus	extant	0.781	2.588	510
Dicrostonyx torquatus	extant	0.126	0.781	85
Ellobius talpinus	extant	0.0117	0.126	40
Lemmus lemmus	extant	0.781	2.588	47,5
Meriones unguiculatus	extant	0.126	0.781	53,3
Micromys minutus	extant	0.781	2.588	6
Microtus arvalis	extant	0.0117	2.588	28
Microtus oeconomus	extant	0.3	1.8	43
Microtus agrestis	extant	0.126	0.781	42,5
Microtus guentheri	extant	0.0117	0.126	50
Mus musculus	extant	0.0117	0.781	15
Ondatra zibethicus	extant	0.3	1.8	1150
Rattus norvegicus	extant	0	0.0117	356,7
Rattus rattus	extant	0.0117	0.781	178,3
Dryomys nitedula	extant	0.126	0.781	33,6
Eliomys quercinus	extant	0.126	0.781	115
Muscardinus avellanarius	extant	1.806	2.588	27,5
Myomimus personatus	extant	0.0117	2.588	-999
Myomimus roachi	extant	2.588	3.2	-999
Callosciurus erythraeus	extant	0.0117	0.126	280
Marmota marmota	extant	0.126	0.781	2010
Sciurus vulgaris	extant	0.126	0.781	333
Cervus unicolor	extant	0.0117	0.781	160413,3
Cervus unicolor	extant	0.0117	0.781	169000
Muntiacus muntjak	extant	0	0.0117	19777,4
Muntiacus reevesi	extant	0.0117	0.781	13500
Muntiacus muntjak	extant	0	0.0117	14000
Hippopotamus laloumena	extinct	0	0.0117	944993,3
Hippopotamus lemerlei	extinct	0	0.0117	-999
Babyrousa babyrussa	extant	0.0117	2.588	100000
Sus scrofa	extant	0.0117	0.781	84818,6
Plesiorycteropus germainepetterae	extinct	0	0.0117	7810
Plesiorycteropus madagascariensis	extinct	0	0.0117	13220
Canis aureus	extant	0	0.0117	8077,4
Cuon alpinus	extant	0.0117	2.588	12760
Neofelis nebulosa	extant	0.0117	0.126	19851,5
Panthera pardus	extant	0.0117	0.781	55615
Prionailurus bengalensis	extant	0.781	2.588	3300
Lutra lutra	extant	0.0117	0.781	4355,6
Martes foina	extant	0.0117	0.781	1540,8
Phocarctos hookeri	extant	0.781	1.806	-999
Monachus schauinslandi	extant	0	0.0117	223000
Helarctos malayanus	extant	0.0117	0.126	47000
Cryptoprocta ferox	extant	0	0.0117	9500
Cryptoprocta ferox	extant	0	0.0117	9500
Fossa fossana	extant	0	0.0117	1500
Fossa fossana	extant	0	0.0117	1500
Paguma larvata	extant	0.0117	0.781	4300
Paradoxurus hermaphroditus	extant	0.126	0.781	3026,7
Paradoxurus hermaphroditus	extant	0.126	0.781	3200
Paradoxurus hermaphroditus	extant	0.126	0.781	3200
Viverra zibetha	extant	0.0117	0.781	10000
Eumops perotis	extant	1.8	4.9	51,1
Tadarida brasiliensis	extant	0.012	0.3	12,5
Noctilio leporinus	extant	0	0.0117	60,3
Artibeus jamaicensis	extant	0	0.0117	42,2
Desmodus rotundus	extant	0	0.0117	33,2
Trachops cirrhosus	extant	0	0.0117	37,7
Rhinolophus euryale	extant	0.0117	2.588	8,2
Rhinolophus ferrumequinum	extant	1.806	2.588	21,1
Antrozous pallidus	extant	4.9	10.3	20,8
Eptesicus fuscus	extant	1.8	4.9	16,5
Lasionycteris noctivagans	extant	1.8	4.9	10,5
Lasiurus borealis	extant	1.8	4.9	10,7
Lasiurus cinereus	extant	0.3	1.8	25,3
Lasiurus intermedius	extant	0.012	0.3	23
Lasiurus seminolus	extant	2.588	3.6	9,9
Myotis keenii	extant	0.0117	2.588	6,3
Myotis myotis	extant	0.0117	2.588	24,8
Myotis velifer	extant	0.3	1.8	10,1
Nycticeius humeralis	extant	0.0117	0.126	9
Plecotus auritus	extant	0.0117	2.588	7,8
Vespertilio murinus	extant	0.0117	0.126	18,7
Cercartetus caudatus	extant	0	0.0117	20
Maokopia ronaldi	extinct	0.0117	2.588	100000
Macropus agilis	extant	0	0.0117	15000
Thylogale stigmatica	extant	0	0.0117	4600
Petaurus breviceps	extant	0	0.0117	85,1
Hylomys suillus	extant	5.333	8.7	64
Suncus murinus	extant	2.588	5.333	40
Suncus murinus	extant	2.588	5.333	53,7
Suncus murinus	extant	2.588	5.333	53,7
Echinops telfairi	extant	0	0.0117	180
Echinops telfairi	extant	0	0.0117	85,5
Setifer setosus	extant	0	0.0117	294
Setifer setosus	extant	0	0.0117	212,8
Tenrec ecaudatus	extant	0	0.0117	868
Tenrec ecaudatus	extant	0	0.0117	500
Prolagus sardus	historical	0.0117	5.333	-999
Tachyglossus aculeatus	extant	0	0.0117	1550
Isoodon macrourus	extant	0	0.0117	1600
Tapirus indicus	extinct	0	0.0117	296250
Pygathrix nemaeus	extant	0.0117	0.781	8310
Cheirogaleus medius	extant	0	0.0117	181
Cheirogaleus medius	extant	0	0.0117	181
Pongo pygmaeus	extant	0.0117	0.781	37000
Hylobates concolor	extant	0.0117	0.781	6684,5
Avahi laniger	extant	0	0.0117	900
Avahi laniger	extant	0	0.0117	900
Lemur catta	extant	0	0.0117	2900
Elephas maximus	extant	0.781	2.588	3305120
Elephas maximus	extant	0.781	2.588	2720000
Dipodomys compactus	extant	1.8	4.9	49,3
Glirulus japonicus	extant	0.0117	0.126	-999
Dugong dugon	extant	0	0.0117	200000
Hydrodamalis gigas	historical	0.126	0.781	4000000
Antilocapra americana	extant	0.3	1.8	46082,9
Capromeryx minor	extinct	0.0117	0.126	10000
Stockoceros conklingi	extinct	0.3	1.8	51000
Stockoceros onusrosagris	extinct	0.3	1.8	55000
Tetrameryx shuleri	extinct	0.3	1.8	60000
Bison bison	extant	0	0.0117	579255,3
Bison latifrons	extinct	0.3	1.8	900000
Bison priscus	extinct	0.126	2.588	900000
Bootherium bombifrons	extinct	0.3	1.8	300000
Euceratherium collinum	extinct	0.3	1.8	450000
Oreamnos americanus	extant	0.3	1.8	72500,3
Oreamnos harringtoni	extinct	0.3	1.8	75000
Ovibos moschatus	extant	0.3	1.8	368502,1
Ovis canadensis	extant	0.3	1.8	74644,9
Ovis dalli	extant	0.0117	0.126	55650,6
Symbos cavifrons	extinct	0.0117	0.126	400000
Camelops huerfanensis	extinct	0.0117	2.588	700000
Camelops hesternus	extinct	1.8	4.9	1100000
Hemiauchenia macrocephala	extinct	1.8	4.9	110000
Palaeolama mirifica	extinct	0.3	1.8	80000
Alces alces	extant	0.0117	0.781	358996,3
Alces latifrons	extinct	0.781	2.588	850000
Cervalces scotti	extinct	0.0117	0.126	632000
Cervus elaphus	extant	0.0117	0.126	217750,9
Mazama americana	extant	0	0.0117	22799,7
Navahoceros fricki	extinct	0.3	1.8	250000
Odocoileus hemionus	extant	0.3	1.8	54212,6
Odocoileus virginianus	extant	0.3	4.9	55508,6
Rangifer tarandus	extant	0.3	1.8	86034
Sangamona fugitiva	extinct	0.0117	0.126	157500
Mylohyus nasutus	extinct	0.0117	2.588	75000
Platygonus compressus	extinct	0.3	1.8	110000
Tayassu pecari	extant	0	0.0117	32233,7
Alopex lagopus	extant	0.3	1.8	3450
Canis latrans	extant	0.3	4.9	13406,3
Canis rufus	extant	1.8	4.9	22983,2
Canis lupus	extant	0.3	1.8	42750
Canis dirus	extinct	0.3	1.8	65000
Cuon alpinus	extinct	0.0117	2.588	17000
Urocyon cinereoargenteus	extant	1.8	4.9	3833,7
Vulpes velox	extant	1.8	4.9	2197,5
Vulpes vulpes	extant	0.3	1.8	4131,7
Felis amnicola	extinct	0	0.126	5000
Homotherium serum	extinct	0.3	1.8	189000
Leopardus pardalis	extant	0.012	0.3	11900,1
Leopardus tigrinus	extant	0	0.126	2250
Lynx canadensis	extant	0.3	1.8	9373,2
Lynx rufus	extant	1.8	4.9	8904,1
Miracinonyx trumani	extinct	0.0117	0.126	88000
Panthera onca	extant	0.3	1.8	100000
Puma concolor	extant	1.8	4.9	51600
Smilodon fatalis	extinct	0.3	1.8	400000
Conepatus mesoleucus	extant	0.0117	0.126	2010
Conepatus semistriatus	extant	0	0.0117	1200
Conepatus leuconotus	extant	0.3	1.8	3500
Eira barbara	extant	0	0.0117	3910
Enhydra lutris	extant	0.012	0.3	23500
Galictis vittata	extant	0	0.0117	3200
Gulo gulo	extant	0.3	1.8	14525,1
Lontra canadensis	extant	1.8	4.9	8087,4
Lontra longicaudis	extant	0	0.126	6555
Martes americana	extant	0.3	1.8	1250
Martes pennanti	extant	0.0117	0.126	4000
Martes nobilis	extinct	0.0117	0.126	1950
Mephitis macroura	extant	0	0.126	801,3
Mephitis mephitis	extant	1.8	4.9	2085
Mustela erminea	extant	0.3	1.8	70
Mustela frenata	extant	1.8	4.9	147
Mustela nigripes	extant	0.3	1.8	850
