Species	Status	MinT	MaxT	Trait
Pipistrellus subflavus	extant	0.3	1.8	5,8
Plecotus rafinesquii	extant	0.3	1.8	9,1
Plecotus townsendii	extant	0	0.126	9,9
Chironectes minimus	extant	0	2.588	946
Didelphis marsupialis	extant	0.3	1.8	1091,2
Didelphis virginiana	extant	0.3	1.8	2195,5
Marmosa mexicana	extant	0.0117	0.126	49,5
Philander opossum	extant	0	0.0117	750
Blarina brevicauda	extant	1.8	4.9	28
Blarina carolinensis	extant	0.3	1.8	13,5
Cryptotis parva	extant	0.3	1.8	5
Notiosorex crawfordi	extant	0.3	1.8	4,4
Sorex arcticus	extant	0.3	1.8	8,2
Sorex cinereus	extant	1.8	4.9	4,7
Sorex dispar	extant	0.3	1.8	5
Sorex fumeus	extant	0.3	1.8	7,7
Sorex hoyi	extant	0.126	0.781	2,6
Sorex longirostris	extant	0.0117	0.126	3,6
Sorex merriami	extant	0.0117	0.126	5,9
Sorex monticolus	extant	0.3	1.8	5,3
Sorex palustris	extant	0.3	1.8	13,4
Sorex vagrans	extant	0.0117	0.126	4,4
Condylura cristata	extant	0.3	1.8	84
Parascalops breweri	extant	0.3	1.8	51
Scalopus aquaticus	extant	1.8	4.9	91,3
Scapanus latimanus	extant	1.8	4.9	55
Scapanus townsendii	extant	1.8	4.9	141,7
Aztlanolagus agilis	extinct	1.8	4.9	2000
Sylvilagus idahoensis	extinct	0	0.126	350
Sylvilagus leonensis	extinct	0.0117	0.126	1500
Brachylagus idahoensis	extant	0.3	1.8	421,3
Lepus alleni	extant	0.3	1.8	3685
Lepus americanus	extant	0.3	1.8	1710
Lepus arcticus	extant	0.3	1.8	4405
Lepus californicus	extant	1.8	4.9	2422,5
Lepus callotis	extant	0.3	1.8	2500
Lepus townsendii	extant	0.3	1.8	1555
Sylvilagus aquaticus	extant	0.0117	0.126	2135,8
Sylvilagus audubonii	extant	0.3	1.8	889,6
Sylvilagus bachmani	extant	0.012	1.8	643,3
Sylvilagus floridanus	extant	0.3	1.8	1172,8
Sylvilagus nuttallii	extant	0	0.126	755,1
Sylvilagus palustris	extant	0.012	0.3	1500
Sylvilagus transitionalis	extant	0.0117	2.588	656,7
Sylvilagus brasiliensis	extant	0	0.0117	950
Ochotona princeps	extant	0.3	1.8	157,6
Equus caballus	extinct	0.126	0.781	250000
Equus fraternus	extinct	0.3	1.8	259000
Equus niobrarensis	extinct	0.3	1.8	334000
Equus complicatus	extinct	1.8	4.9	400000
Equus giganteus	extinct	1.8	4.9	400000
Equus hemionus	extinct	0.0117	0.126	250000
Equus conversidens	extinct	0.3	1.8	306000
Equus occidentalis	extinct	1.8	4.9	574000
Equus scotti	extinct	1.8	4.9	555000
Tapirus bairdii	extant	0	0.0117	299999,1
Tapirus californicus	extinct	0.3	1.8	400000
Tapirus veroensis	extinct	0.0117	2.588	275000
Tapirus copei	extinct	0.0117	0.126	317000
Alouatta palliata	extant	0	0.0117	7274,9
Ateles geoffroyi	extant	0	0.0117	5284,9
Mammuthus imperator	extinct	0.3	1.8	10000000
Mammuthus primigenius	extinct	0.3	1.8	5500000
Mammuthus columbi	extinct	0.3	1.8	8000000
Mammut americanum	extinct	1.8	4.9	4523800
Agouti paca	extant	0	0.0117	8000
Aplodontia rufa	extant	0.0117	0.126	1004
Castor canadensis	extant	1.8	4.9	21820
Dasyprocta punctata	extant	0	0.0117	2675
Napaeozapus insignis	extant	0.3	1.8	22,3
Zapus hudsonius	extant	0.3	1.8	17,1
Zapus princeps	extant	0	0.0117	29
Erethizon dorsatum	extant	0.3	1.8	7085,3
Geomys bursarius	extant	0.3	1.8	203,8
Geomys pinetis	extant	0.3	1.8	85
Pappogeomys castanops	extant	0	0.126	251,8
Pappogeomys merriami	extant	0.0117	2.588	420
Thomomys bottae	extant	1.8	4.9	114,7
Thomomys talpoides	extant	0.3	1.8	130,1
Thomomys umbrinus	extant	0.3	1.8	166
Thomomys monticola	extant	0.0117	0.126	80
Thomomys townsendii	extant	0.0117	0.126	263,4
Thomomys microdon	extinct	0.0117	0.126	75
Thomomys orientalis	extinct	0.3	1.8	95
Chaetodipus formosus	extant	0.0117	0.126	19,5
Chaetodipus hispidus	extant	0.3	1.8	32
Dipodomys agilis	extant	0.0117	0.126	57,8
Dipodomys deserti	extant	0.3	1.8	104,5
Dipodomys microps	extant	0	0.126	54,6
Dipodomys ordii	extant	0.012	1.8	60,4
Dipodomys spectabilis	extant	0.0117	0.126	135,9
Dipodomys merriami	extant	0.3	1.8	42
Liomys irroratus	extant	0.0117	0.126	50
Microdipodops megacephalus	extant	0	0.126	10,5
Perognathus flavus	extant	0.0117	0.126	7,7
Neochoerus pinckneyi	extinct	0.012	0.3	70000
Baiomys taylori	extant	0	0.126	8
Castoroides ohioensis	extinct	0.3	1.8	150000
Clethrionomys gapperi	extant	0.3	1.8	19
Clethrionomys rutilus	extant	0.3	1.8	29
Dicrostonyx hudsonius	extant	0.0117	0.126	57
Lemmiscus curtatus	extant	0.3	1.8	28,3
Lemmus sibiricus	extant	0.3	1.8	52,3
Microtus californicus	extant	0.3	1.8	57,4
Microtus chrotorrhinus	extant	0.3	1.8	39
Microtus longicaudus	extant	0.0117	0.126	46,7
Microtus mexicanus	extant	0.0117	0.126	35
Microtus montanus	extant	0.0117	0.126	36,3
Microtus ochrogaster	extant	0.0117	0.126	38
Microtus oeconomus	extant	0.3	1.8	32,2
Microtus pennsylvanicus	extant	0.3	1.8	36,8
Microtus pinetorum	extant	0.0117	0.126	26,3
Microtus xanthognathus	extant	0.3	1.8	125,8
Microtus miurus	extant	0.3	1.8	41
Microtus richardsoni	extant	0.0117	0.126	85
Neofiber alleni	extant	0.3	1.8	266
Neotoma albigula	extant	0.3	1.8	206
Neotoma floridana	extant	0.3	1.8	244,7
Neotoma fuscipes	extant	0.3	1.8	229,8
Neotoma lepida	extant	0.012	1.8	163,7
Neotoma mexicana	extant	0.3	1.8	203
Neotoma micropus	extant	0.3	1.8	237,5
Neotoma stephensi	extant	0.0117	0.126	152,5
Neotoma cinerea	extant	0.3	4.9	299,2
Ochrotomys nuttalli	extant	0.3	1.8	22,4
Ondatra zibethicus	extant	0.3	1.8	981,5
Onychomys leucogaster	extant	0.3	1.8	27,9
Onychomys torridus	extant	0.3	1.8	25
Oryzomys palustris	extant	0.3	1.8	53,9
Peromyscus boylii	extant	0.0117	0.126	21,4
Peromyscus crinitus	extant	0.3	1.8	18
Peromyscus difficilis	extant	0.0117	0.126	28
Peromyscus eremicus	extant	0.0117	0.126	23,6
Peromyscus gossypinus	extant	0.012	0.3	29,4
Peromyscus leucopus	extant	0.3	1.8	21,2
Peromyscus maniculatus	extant	0.0117	0.126	21,3
Peromyscus polionotus	extant	1.8	4.9	13
Peromyscus truei	extant	0.3	1.8	27,4
Peromyscus pectoralis	extant	0.0117	0.126	39
Peromyscus cochrani	extinct	0.3	1.8	21
Phenacomys intermedius	extant	0.3	1.8	25,2
Podomys floridanus	extant	0.3	1.8	30,8
Reithrodontomys fulvescens	extant	0.3	1.8	11,4
Reithrodontomys humulis	extant	0.3	1.8	8,3
Reithrodontomys megalotis	extant	0.3	1.8	9,4
Reithrodontomys montanus	extant	0.3	1.8	10,9
Sigmodon hispidus	extant	0.012	0.3	92,4
Synaptomys borealis	extant	0.012	0.3	21,3
Synaptomys cooperi	extant	0.3	1.8	31,9
Synaptomys bunkeri	extinct	0.0117	0.126	20
Synaptomys australis	extinct	0.3	1.8	53
Ammospermophilus interpres	extant	0	0.0117	110,3
Ammospermophilus leucurus	extant	0.3	1.8	103,7
Cynomys gunnisoni	extant	0.3	1.8	925
Cynomys ludovicianus	extant	0.3	1.8	1364
Glaucomys sabrinus	extant	0.0117	0.126	166
Glaucomys volans	extant	0.3	1.8	63,9
Marmota caligata	extant	0.0117	0.126	7230
Marmota monax	extant	0.3	1.8	3801,7
Marmota flaviventris	extant	0.3	1.8	3350
Marmota vancouverensis	extant	0.0117	0.126	6300
Sciurus aberti	extant	0.3	1.8	624
Sciurus alleni	extant	0.0117	0.126	434,5
Sciurus carolinensis	extant	0.3	1.8	506,5
Sciurus niger	extant	0.0117	0.126	761,9
Spermophilus armatus	extant	0.0117	0.126	313
Spermophilus beecheyi	extant	0.3	1.8	578,5
Spermophilus columbianus	extant	0.0117	0.126	493
Spermophilus franklinii	extant	0.3	1.8	363
Spermophilus lateralis	extant	0.126	0.781	191
Spermophilus parryii	extant	0.3	1.8	760
Spermophilus spilosoma	extant	0.3	1.8	89
Spermophilus townsendii	extant	0	0.126	213
Spermophilus tridecemlineatus	extant	0.3	1.8	131,7
Spermophilus variegatus	extant	0.3	1.8	691,6
Spermophilus elegans	extant	0.3	1.8	453,6
Spermophilus richardsonii	extant	0.3	1.8	406
Tamias striatus	extant	0.3	1.8	111,9
Tamias aristus	extinct	0.0117	0.126	143
Tamiasciurus hudsonicus	extant	0.3	1.8	201,2
Trichechus manatus	extant	0.0117	0.126	433333
Dasypus novemcinctus	extant	0	0.0117	4203,8
Dasypus bellus	extinct	0.3	4.9	45000
Glyptotherium mexicanum	extinct	0.3	1.8	1100000
Glyptotherium floridanum	extinct	0.3	1.8	1100000
Choloepus hoffmanni	extant	0	0.0117	6000
Megalonyx jeffersonii	extinct	0.3	1.8	600000
Eremotherium rusconii	extinct	0.0117	0.126	3500000
Glossotherium harlani	extinct	0.0117	2.588	1587000
Myrmecophaga tridactyla	extant	1.8	4.9	22333,2
Balaena mysticetus	extant	0.0117	0.126	100000000
Eubalaena australis	extant	0.781	1.806	23000000
Eubalaena glacialis	extant	0	0.0117	23000000
Balaenoptera acutorostrata	extant	3.6	5.333	10000000
Balaenoptera borealis	extant	11.608	15.97	20000000
Balaenoptera edeni	extant	0	0.0117	20000000
Balaenoptera musculus	extant	0.781	1.806	190000000
Balaenoptera physalus	extant	0.0117	0.126	70000000
Megaptera novaeangliae	extant	0.0117	0.126	30000000
Cephalorhynchus heavisidii	extant	0	0.0117	40000
Cephalorhynchus eutropia	extant	0	0.0117	45000
Delphinus delphis	extant	0.781	2.588	80000
Feresa attenuata	extant	0	0.0117	170000
Globicephala macrorhynchus	extant	0	0.0117	726000
Globicephala melas	extant	0.0117	0.126	800000
Grampus griseus	extant	0	0.0117	387500
Lagenodelphis hosei	extant	0	0.0117	164000
Lagenorhynchus acutus	extant	1.806	2.588	182000
Lagenorhynchus albirostris	extant	0	0.0117	180000
Lagenorhynchus australis	extant	0	0.0117	120000
Lagenorhynchus cruciger	extant	0	0.0117	110000
Lagenorhynchus obliquidens	extant	0	0.0117	120000
Lissodelphis borealis	extant	0	0.0117	113000
Lissodelphis peronii	extant	0	0.0117	116000
Orcaella brevirostris	extant	0	0.0117	190000
Orcinus orca	extant	3.6	5.333	4300000
Peponocephala electra	extant	0	0.0117	206000
Pseudorca crassidens	extant	0	0.0117	1360000
Sousa teuszii	extant	0	0.0117	100000
Sousa chinensis	extant	0	0.0117	280000
Stenella attenuata	extant	0	0.0117	57400
Stenella longirostris	extant	0	0.0117	50500
Steno bredanensis	extant	0	0.0117	130000
Tursiops truncatus	extant	0	0.0117	175000
Eschrichtius robustus	extant	0	0.0117	28500000
Delphinapterus leucas	extant	0.0117	0.126	1360000
Monodon monoceros	extant	0.126	0.781	900000
Caperea marginata	extant	0	0.0117	32000000
Neophocaena phocaenoides	extant	0	0.0117	32500
Phocoena phocoena	extant	0.0117	0.126	52500
Phocoena sinus	extant	0	0.0117	42500
Phocoenoides dalli	extant	0	0.0117	102500
Kogia simus	extant	2.588	3.6	183066,7
Kogia breviceps	extant	2.588	3.6	431500
Physeter catodon	extant	3.6	5.333	14025000
Inia geoffrensis	extant	0	0.0117	129250
Lipotes vexillifer	extant	0	0.0117	83500
Platanista gangetica	extant	0	0.0117	115000
Pontoporia blainvillei	extant	0.781	1.806	40500
Berardius bairdii	extant	0	0.0117	11380000
Berardius arnuxii	extant	0	0.0117	7000000
Hyperoodon ampullatus	extant	0	0.0117	5800000
Hyperoodon planifrons	extant	0	0.0117	3000000
Indopacetus pacificus	extant	0	0.0117	2200000
Mesoplodon peruvianus	extant	0	0.0117	-999
Mesoplodon ginkgodens	extant	0	0.0117	1500000
Mesoplodon bowdoini	extant	0	0.0117	2600000
Mesoplodon carlhubbsi	extant	0	0.0117	3400000
Mesoplodon stejnegeri	extant	0	0.0117	4800000
Mesoplodon densirostris	extant	0	0.0117	2300000
Mesoplodon grayi	extant	0	0.0117	2900000
Tasmacetus shepherdi	extant	0	0.0117	2500000
Ziphius cavirostris	extant	0.0117	5.333	4775000
Hemiauchenia paradoxa	extinct	0.012	0.781	1000000
Lama guanicoe	extant	0	0.0117	120000
Lama glama	extant	0.781	2.588	142500
Mazama americana	extant	0	0.0117	22799,7
Odocoileus virginianus	extant	0.3	4.9	55508,6
Ozotoceros bezoarticus	extant	0	0.0117	40000
Pecari tajacu	extant	0.012	0.781	21266,7
Tayassu pecari	extant	0	0.0117	32233,7
Canis dirus	extinct	0.3	1.8	50000
Cerdocyon thous	extant	0	0.0117	5240
Chrysocyon brachyurus	extant	0.781	2.588	23249,8
Dusicyon avus	extinct	0.0117	0.126	13000
Protocyon orcesi	extinct	0.0117	0.781	25000
Protocyon troglodytes	extinct	0.126	0.781	16000
Pseudalopex gymnocercus	extant	0	0.0117	4690
Speothos venaticus	extant	0	0.0117	6000
Urocyon cinereoargenteus	extant	1.8	4.9	3833,7
Leopardus pardalis	extant	0.012	0.3	11900,1
Leopardus tigrinus	extant	0	0.126	2250
Panthera onca	extant	0.3	1.8	100000
Puma concolor	extant	1.8	4.9	51600
Smilodon fatalis	extinct	0.3	1.8	433200
Smilodon populator	extinct	0.0117	0.126	442000
Conepatus semistriatus	extant	0	0.0117	1200
Eira barbara	extant	0	0.0117	3910
Galictis vittata	extant	0	0.0117	3200
Lontra longicaudis	extant	0	0.126	6555
Mustela frenata	extant	1.8	4.9	147
Pteronura brasiliensis	extant	0	0.0117	23999,9
Otaria byronia	extant	0.0117	0.126	140000
Zalophus californianus	extant	0	0.0117	80000
Bassaricyon gabbii	extant	0	0.0117	1250
Nasua nasua	extant	0	0.0117	3793,8
Potos flavus	extant	0	0.0117	3000
Procyon cancrivorus	extant	0	0.0117	6949,9
Eumops glaucinus	extant	0	0.0117	35,4
Eumops perotis	extant	1.8	4.9	51,1
Tadarida brasiliensis	extant	0.012	0.3	12,5
Noctilio albiventris	extant	0	0.0117	30,8
Noctilio leporinus	extant	0	0.0117	60,3
Artibeus jamaicensis	extant	0	0.0117	42,2
Chrotopterus auritus	extant	0	0.126	77,9
Desmodus rotundus	extant	0	0.0117	33,2
Trachops cirrhosus	extant	0	0.0117	37,7
Eptesicus fuscus	extant	1.8	4.9	16,5
Lasiurus borealis	extant	1.8	4.9	10,7
Lasiurus cinereus	extant	0.3	1.8	25,3
Caluromys lanatus	extant	0	0.0117	325
Caluromys philander	extant	0	0.0117	229,3
Caluromysiops irrupta	extant	0	0.0117	250
Chironectes minimus	extant	0	2.588	946
Didelphis marsupialis	extant	0.3	1.8	1091,2
Lestodelphys halli	extant	0	0.0117	76
Lutreolina crassicaudata	extant	3	4	537,3
Marmosa mexicana	extant	0.0117	0.126	49,5
Marmosa robinsoni	extant	0	0.0117	56,7
Marmosa murina	extant	0	0.0117	26
Metachirus nudicaudatus	extant	0	0.0117	375
Monodelphis brevicaudata	extant	0	0.0117	69,6
Monodelphis domestica	extant	0	2.588	71,4
Philander opossum	extant	0	0.0117	421
Sylvilagus brasiliensis	extant	0	0.0117	950
Sylvilagus floridanus	extant	0.3	1.8	1172,8
Macrauchenia patachonica	extinct	0.012	0.781	988000
Toxodon burmeisteri	extinct	0.012	0.781	1100000
Toxodon paradoxus	extinct	0.012	0.781	1000000
Toxodon bilobidens	extinct	0.012	0.781	1100000
Toxodon platensis	extinct	0.781	2.588	1642000
Equus santaeelenae	extinct	0.0117	2.588	350000
Equus neogeus	extinct	0.012	0.781	378000
Equus andium	extinct	0.781	2.588	220000
Equus insulatus	extinct	0.781	2.588	351000
Hippidion saldiasi	extinct	0.0117	0.126	265000
Hippidion principale	extinct	0.126	0.781	511000
Tapirus terrestris	extant	0	0.0117	207500,9
Tapirus bairdii	extant	0	0.0117	299999,1
Callimico goeldii	extant	0	0.0117	480
Saguinus fuscicollis	extant	0	0.0117	387
Saguinus midas	extant	0	0.0117	540
Alouatta palliata	extant	0	0.0117	7274,9
Alouatta seniculus	extant	0	0.0117	6145,5
Aotus trivirgatus	extant	0	0.0117	900
Ateles paniscus	extant	0	0.0117	7900,1
Cebus albifrons	extant	0	0.0117	2629
Cebus capucinus	extant	0	0.0117	2733,3
Cebus apella	extant	0	0.0117	2500
Lagothrix lagotricha	extant	0	0.0117	6300
Saimiri sciureus	extant	0	0.0117	743,2
Haplomastodon chimborazi	extinct	0.0117	0.781	6000000
Agouti paca	extant	0	0.0117	8000
Cavia aperea	extant	0	0.0117	549
Cavia porcellus	extant	0	0.0117	728
Dolichotis patagonum	extant	0.012	0.781	8000
Galea musteloides	extant	0	0.0117	480
Galea spixii	extant	0	2.588	326,2
Microcavia australis	extant	0.012	0.781	286,1
Lagidium peruanum	extant	0	0.0117	1220
Lagostomus maximus	extant	0	0.0117	4647,5
Ctenomys magellanicus	extant	0.012	0.781	272
Dasyprocta leporina	extant	0	0.0117	3020
Dasyprocta punctata	extant	0	0.0117	2675
Myoprocta acouchy	extant	0	0.0117	600
Coendou prehensilis	extant	0	0.0117	4400
Hydrochaeris hydrochaeris	extant	0	0.0117	62449,6
Akodon azarae	extant	0.126	0.781	25
Andinomys edax	extant	0.0117	0.126	69,7
Calomys callosus	extant	0.012	0.781	45
Eligmodontia typus	extant	0.012	0.781	17,3
Holochilus brasiliensis	extant	0	0.0117	155
Nectomys squamipes	extant	0	0.0117	190,7
Neotomys ebriosus	extant	0.0117	0.126	64,5
Oligoryzomys flavescens	extant	0.0117	0.126	21,3
Oligoryzomys longicaudatus	extant	0.0117	0.126	27
Reithrodon auritus	extant	0	0.0117	70,9
Scapteromys tumidus	extant	0	2.588	146
Sigmodon hispidus	extant	0.012	0.3	92,4
Myocastor coypus	extant	0	0.0117	6937,5
Trichechus inunguis	extant	0	0.0117	480000
Bradypus tridactylus	extant	0	0.0117	3850
Chaetophractus vellerosus	extant	0	0.0117	1030
Chaetophractus villosus	extant	0	0.0117	4540
Dasypus novemcinctus	extant	0	0.0117	4203,8
Dasypus sabanicola	extant	0.0117	0.126	1150
Dasypus hybridus	extant	0.0117	0.126	1500
Dasypus kappleri	extant	0	0.0117	9500
Euphractus sexcinctus	extant	0.781	2.588	4782,9
Pampatherium humboldtii	extinct	0.781	2.588	150000
Pampatherium typum	extinct	0.012	0.781	200000
Priodontes maximus	extant	0	0.0117	45359,7
Propraopus grandis	extinct	0.012	0.781	47000
Tolypeutes matacus	extant	0.012	0.781	1200
Tolypeutes tricinctus	extant	0	0.126	1487
Zaedyus pichiy	extant	0	0.0117	1380
Glyptodon clavipes	extinct	0.126	0.781	2000000
Glyptodon reticulatus	extinct	0.781	2.588	862000
Panochthus tuberculatus	extinct	0.126	0.781	1061000
Sclerocalyptus ornatus	extinct	0.126	0.781	280000
Choloepus didactylus	extant	0	0.0117	5160
Choloepus hoffmanni	extant	0	0.0117	3500
Eremotherium laurillardi	extinct	0.3	1.8	800000
Eremotherium rusconii	extinct	0.0117	0.126	3500000
Megatherium americanum	extinct	0.126	0.781	6265000
Glossotherium robustum	extinct	0.012	0.781	1713000
Lestodon armatus	extinct	0.126	0.781	3397000
Scelidotherium leptocephalum	extinct	0.012	0.781	1119000
Myrmecophaga tridactyla	extant	1.8	4.9	22333,2
Tamandua tetradactyla	extant	0	0.0117	5515,1
