time	diversity	m_div	M_div	median_genus_age	m_age	M_age	turnover	m_turnover	M_turnover	life_exp	m_life_exp	M_life_exp	
24	0.0	0	0	NA	NA	NA	1.0	1	1	NA	NA	NA
23	4.0	4	4	0.272423494326	0.272423494326	0.272423494326	1.0	1.0	1.0	0.763331132815	0.763331132815	0.763331132815
22	7.0	7	7	1.17125070278	1.17125070278	1.17125070278	0.428571428571	0.428571428571	0.428571428571	0.28666322459	0.28666322459	0.28666322459
21	5.0	5	5	1.96173054523	1.96173054523	1.96173054523	0.0	0.0	0.0	0.840313947484	0.840313947484	0.840313947484
20	5.0	5	5	2.5588295564	2.5588295564	2.5588295564	0.4	0.4	0.4	1.00438194993	1.00438194993	1.00438194993
19	5.0	5	5	1.17062478549	1.17062478549	1.17062478549	0.4	0.4	0.4	0.469641913962	0.469641913962	0.469641913962
18	13.0	13	13	0.667522078441	0.667522078441	0.667522078441	0.615384615385	0.615384615385	0.615384615385	4.0564831029	4.0564831029	4.0564831029
17	15.0	15	15	1.07042083893	1.07042083893	1.07042083893	0.466666666667	0.466666666667	0.466666666667	4.28684866725	4.28684866725	4.28684866725
16	20.0	20	20	1.22811118594	1.22811118594	1.22811118594	0.3	0.3	0.3	2.88988746528	2.88988746528	2.88988746528
15	18.0	18	18	2.19865821789	2.19865821789	2.19865821789	0.166666666667	0.166666666667	0.166666666667	2.34477819112	2.34477819112	2.34477819112
14	24.0	24	24	2.48519557762	2.48519557762	2.48519557762	0.375	0.375	0.375	1.6636840677	1.6636840677	1.6636840677
13	23.0	23	23	3.64711020472	3.64711020472	3.64711020472	0.0869565217391	0.0869565217391	0.0869565217391	1.59335719744	1.59335719744	1.59335719744
12	24.0	24	24	2.82319651254	2.82319651254	2.82319651254	0.333333333333	0.333333333333	0.333333333333	1.32959105932	1.32959105932	1.32959105932
11	24.0	24	24	2.31290616144	2.31290616144	2.31290616144	0.25	0.25	0.25	1.61582220674	1.61582220674	1.61582220674
10	22.0	22	22	3.31290616144	3.31290616144	3.31290616144	0.181818181818	0.181818181818	0.181818181818	4.51695855876	4.51695855876	4.51695855876
9	20.0	20	20	3.18343168512	3.18343168512	3.18343168512	0.15	0.15	0.15	4.0653687085	4.0653687085	4.0653687085
8	23.0	23	23	2.7553731935	2.7553731935	2.7553731935	0.260869565217	0.260869565217	0.260869565217	2.98255285511	2.98255285511	2.98255285511
7	27.0	27	27	3.02319415224	3.02319415224	3.02319415224	0.259259259259	0.259259259259	0.259259259259	1.932773629	1.932773629	1.932773629
6	31.0	31	31	3.87070732287	3.87070732287	3.87070732287	0.290322580645	0.290322580645	0.290322580645	1.14818456189	1.14818456189	1.14818456189
5	36.0	36	36	1.43239048662	1.43239048662	1.43239048662	0.333333333333	0.333333333333	0.333333333333	1.81743504853	1.81743504853	1.81743504853
4	33.0	33	33	1.99808456848	1.99808456848	1.99808456848	0.151515151515	0.151515151515	0.151515151515	1.43711761309	1.43711761309	1.43711761309
3	32.0	32	32	2.46293656176	2.46293656176	2.46293656176	0.21875	0.21875	0.21875	1.41383175184	1.41383175184	1.41383175184
2	49.0	49	49	1.2483032849	1.2483032849	1.2483032849	0.428571428571	0.428571428571	0.428571428571	1.84294198611	1.84294198611	1.84294198611
1	44.0	44	44	1.73510076191	1.73510076191	1.73510076191	0.181818181818	0.181818181818	0.181818181818	1.28700416614	1.28700416614	1.28700416614
0	51.0	51	51	2.16920052936	2.16920052936	2.16920052936	0.333333333333	0.333333333333	0.333333333333	0.324164883466	0.324164883466	0.324164883466
