it	l_0	l_1	l_2	l_3	l_4	l_5	l_6	l_7	l_8	l_9	l_10	l_11	l_12	l_13	l_14	l_15	l_16	l_17	l_18	l_19	l_20	l_21	l_22	l_23	l_24	l_25	l_26	l_27	l_28	l_29	l_30	l_31	l_32	l_33	l_34	l_35	l_36	l_37	l_38	l_39	l_40	l_41	l_42	l_43	l_44	l_45	l_46	l_47	l_48	l_49	l_50	l_51	l_52	l_53	l_54	l_55	l_56	l_57	l_58	l_59	l_60	l_61	l_62	m_0	m_1	m_2	m_3	m_4	m_5	m_6	m_7	m_8	m_9	m_10	m_11	m_12	m_13	m_14	m_15	m_16	m_17	m_18	m_19	m_20	m_21	m_22	m_23	m_24	m_25	m_26	m_27	m_28	m_29	m_30	m_31	m_32	m_33	m_34	m_35	m_36	m_37	m_38	m_39	m_40	m_41	m_42	m_43	m_44	m_45	m_46	m_47	m_48	m_49	m_50	m_51	m_52	m_53	m_54	m_55	m_56	m_57	m_58	m_59	m_60	m_61	m_62	r_0	r_1	r_2	r_3	r_4	r_5	r_6	r_7	r_8	r_9	r_10	r_11	r_12	r_13	r_14	r_15	r_16	r_17	r_18	r_19	r_20	r_21	r_22	r_23	r_24	r_25	r_26	r_27	r_28	r_29	r_30	r_31	r_32	r_33	r_34	r_35	r_36	r_37	r_38	r_39	r_40	r_41	r_42	r_43	r_44	r_45	r_46	r_47	r_48	r_49	r_50	r_51	r_52	r_53	r_54	r_55	r_56	r_57	r_58	r_59	r_60	r_61	r_62	
0	0.13583427426606887	0.13583427426606887	0.13583427426606887	0.3543994694481849	0.3543994694481849	0.3543994694481849	0.19901895936595404	0.19901895936595404	0.19901895936595404	0.19901895936595404	0.19901895936595404	0.19901895936595404	0.19901895936595404	0.19901895936595404	0.19901895936595404	0.19901895936595404	0.19901895936595404	0.19901895936595404	0.19901895936595404	0.19901895936595404	0.19901895936595404	0.19901895936595404	0.19901895936595404	0.19901895936595404	0.41459835131971601	0.41459835131971601	0.41459835131971601	0.41459835131971601	0.41459835131971601	0.41459835131971601	0.41459835131971601	0.41459835131971601	0.41459835131971601	0.41459835131971601	0.21639616175977586	0.21639616175977586	0.21639616175977586	0.21639616175977586	0.21639616175977586	0.21639616175977586	0.21639616175977586	0.21639616175977586	0.21639616175977586	0.21639616175977586	0.21639616175977586	0.21639616175977586	0.21639616175977586	0.21639616175977586	0.21639616175977586	0.21639616175977586	0.21639616175977586	0.21639616175977586	0.21639616175977586	0.21639616175977586	0.21639616175977586	0.21639616175977586	0.21639616175977586	0.17003984811679007	0.17003984811679007	0.17003984811679007	0.17003984811679007	0.17003984811679007	0.17003984811679007	0.19892092351551593	0.19892092351551593	0.19892092351551593	0.45831551930762426	0.45831551930762426	0.45831551930762426	0.60657829828839804	0.60657829828839804	0.60657829828839804	0.60657829828839804	0.60657829828839804	0.60657829828839804	0.60657829828839804	0.60657829828839804	0.60657829828839804	0.60657829828839804	0.60657829828839804	0.60657829828839804	0.60657829828839804	0.60657829828839804	0.60657829828839804	0.60657829828839804	0.60657829828839804	0.60657829828839804	0.76894280151772765	0.76894280151772765	0.76894280151772765	0.76894280151772765	0.76894280151772765	0.76894280151772765	0.76894280151772765	0.76894280151772765	0.76894280151772765	0.76894280151772765	0.7663885158707614	0.7663885158707614	0.7663885158707614	0.7663885158707614	0.7663885158707614	0.7663885158707614	0.7663885158707614	0.7663885158707614	0.7663885158707614	0.7663885158707614	0.7663885158707614	0.7663885158707614	0.7663885158707614	0.7663885158707614	0.7663885158707614	0.7663885158707614	0.7663885158707614	0.7663885158707614	0.7663885158707614	0.7663885158707614	0.7663885158707614	0.7663885158707614	0.7663885158707614	0.21142045266423459	0.21142045266423459	0.21142045266423459	0.21142045266423459	0.21142045266423459	0.21142045266423459	-0.063086649249447069	-0.063086649249447069	-0.063086649249447069	-0.10391604985943936	-0.10391604985943936	-0.10391604985943936	-0.407559338922444	-0.407559338922444	-0.407559338922444	-0.407559338922444	-0.407559338922444	-0.407559338922444	-0.407559338922444	-0.407559338922444	-0.407559338922444	-0.407559338922444	-0.407559338922444	-0.407559338922444	-0.407559338922444	-0.407559338922444	-0.407559338922444	-0.407559338922444	-0.407559338922444	-0.407559338922444	-0.35434445019801164	-0.35434445019801164	-0.35434445019801164	-0.35434445019801164	-0.35434445019801164	-0.35434445019801164	-0.35434445019801164	-0.35434445019801164	-0.35434445019801164	-0.35434445019801164	-0.54999235411098557	-0.54999235411098557	-0.54999235411098557	-0.54999235411098557	-0.54999235411098557	-0.54999235411098557	-0.54999235411098557	-0.54999235411098557	-0.54999235411098557	-0.54999235411098557	-0.54999235411098557	-0.54999235411098557	-0.54999235411098557	-0.54999235411098557	-0.54999235411098557	-0.54999235411098557	-0.54999235411098557	-0.54999235411098557	-0.54999235411098557	-0.54999235411098557	-0.54999235411098557	-0.54999235411098557	-0.54999235411098557	-0.041380604547444522	-0.041380604547444522	-0.041380604547444522	-0.041380604547444522	-0.041380604547444522	-0.041380604547444522
10000	0.21008908660303191	0.21008908660303191	0.21008908660303191	0.324091875756157	0.324091875756157	0.324091875756157	0.15330997716038736	0.15330997716038736	0.15330997716038736	0.15330997716038736	0.15330997716038736	0.15330997716038736	0.15330997716038736	0.15330997716038736	0.15330997716038736	0.15330997716038736	0.15330997716038736	0.15330997716038736	0.15330997716038736	0.15330997716038736	0.15330997716038736	0.15330997716038736	0.15330997716038736	0.15330997716038736	0.21154243473616713	0.21154243473616713	0.21154243473616713	0.21154243473616713	0.21154243473616713	0.21154243473616713	0.21154243473616713	0.21154243473616713	0.21154243473616713	0.21154243473616713	0.1821219056974791	0.1821219056974791	0.1821219056974791	0.1821219056974791	0.1821219056974791	0.1821219056974791	0.1821219056974791	0.1821219056974791	0.1821219056974791	0.1821219056974791	0.1821219056974791	0.1821219056974791	0.1821219056974791	0.1821219056974791	0.1821219056974791	0.1821219056974791	0.1821219056974791	0.1821219056974791	0.1821219056974791	0.1821219056974791	0.1821219056974791	0.1821219056974791	0.1821219056974791	0.52329139395411617	0.52329139395411617	0.52329139395411617	0.52329139395411617	0.52329139395411617	0.52329139395411617	0.65051955583109899	0.65051955583109899	0.65051955583109899	0.33199819905305084	0.33199819905305084	0.33199819905305084	0.1130164317799426	0.1130164317799426	0.1130164317799426	0.1130164317799426	0.1130164317799426	0.1130164317799426	0.1130164317799426	0.1130164317799426	0.1130164317799426	0.1130164317799426	0.1130164317799426	0.1130164317799426	0.1130164317799426	0.1130164317799426	0.1130164317799426	0.1130164317799426	0.1130164317799426	0.1130164317799426	0.24917162596355383	0.24917162596355383	0.24917162596355383	0.24917162596355383	0.24917162596355383	0.24917162596355383	0.24917162596355383	0.24917162596355383	0.24917162596355383	0.24917162596355383	0.19250095338669862	0.19250095338669862	0.19250095338669862	0.19250095338669862	0.19250095338669862	0.19250095338669862	0.19250095338669862	0.19250095338669862	0.19250095338669862	0.19250095338669862	0.19250095338669862	0.19250095338669862	0.19250095338669862	0.19250095338669862	0.19250095338669862	0.19250095338669862	0.19250095338669862	0.19250095338669862	0.19250095338669862	0.19250095338669862	0.19250095338669862	0.19250095338669862	0.19250095338669862	0.053612008886984627	0.053612008886984627	0.053612008886984627	0.053612008886984627	0.053612008886984627	0.053612008886984627	-0.44043046922806706	-0.44043046922806706	-0.44043046922806706	-0.0079063232968938357	-0.0079063232968938357	-0.0079063232968938357	0.040293545380444759	0.040293545380444759	0.040293545380444759	0.040293545380444759	0.040293545380444759	0.040293545380444759	0.040293545380444759	0.040293545380444759	0.040293545380444759	0.040293545380444759	0.040293545380444759	0.040293545380444759	0.040293545380444759	0.040293545380444759	0.040293545380444759	0.040293545380444759	0.040293545380444759	0.040293545380444759	-0.037629191227386699	-0.037629191227386699	-0.037629191227386699	-0.037629191227386699	-0.037629191227386699	-0.037629191227386699	-0.037629191227386699	-0.037629191227386699	-0.037629191227386699	-0.037629191227386699	-0.010379047689219517	-0.010379047689219517	-0.010379047689219517	-0.010379047689219517	-0.010379047689219517	-0.010379047689219517	-0.010379047689219517	-0.010379047689219517	-0.010379047689219517	-0.010379047689219517	-0.010379047689219517	-0.010379047689219517	-0.010379047689219517	-0.010379047689219517	-0.010379047689219517	-0.010379047689219517	-0.010379047689219517	-0.010379047689219517	-0.010379047689219517	-0.010379047689219517	-0.010379047689219517	-0.010379047689219517	-0.010379047689219517	0.46967938506713153	0.46967938506713153	0.46967938506713153	0.46967938506713153	0.46967938506713153	0.46967938506713153
20000	0.32136903782056581	0.32136903782056581	0.32136903782056581	0.24309201508524825	0.24309201508524825	0.24309201508524825	0.16461959210182556	0.16461959210182556	0.16461959210182556	0.16461959210182556	0.16461959210182556	0.16461959210182556	0.16461959210182556	0.16461959210182556	0.16461959210182556	0.16461959210182556	0.16461959210182556	0.16461959210182556	0.16461959210182556	0.16461959210182556	0.16461959210182556	0.16461959210182556	0.16461959210182556	0.16461959210182556	0.19687445097627412	0.19687445097627412	0.19687445097627412	0.19687445097627412	0.19687445097627412	0.19687445097627412	0.19687445097627412	0.19687445097627412	0.19687445097627412	0.19687445097627412	0.2122260178952165	0.2122260178952165	0.2122260178952165	0.2122260178952165	0.2122260178952165	0.2122260178952165	0.2122260178952165	0.2122260178952165	0.2122260178952165	0.2122260178952165	0.2122260178952165	0.2122260178952165	0.2122260178952165	0.2122260178952165	0.2122260178952165	0.2122260178952165	0.2122260178952165	0.2122260178952165	0.2122260178952165	0.2122260178952165	0.2122260178952165	0.2122260178952165	0.2122260178952165	0.62736929318740164	0.62736929318740164	0.62736929318740164	0.62736929318740164	0.62736929318740164	0.62736929318740164	0.73363695112859195	0.73363695112859195	0.73363695112859195	0.40980605585843904	0.40980605585843904	0.40980605585843904	0.12132040753854777	0.12132040753854777	0.12132040753854777	0.12132040753854777	0.12132040753854777	0.12132040753854777	0.12132040753854777	0.12132040753854777	0.12132040753854777	0.12132040753854777	0.12132040753854777	0.12132040753854777	0.12132040753854777	0.12132040753854777	0.12132040753854777	0.12132040753854777	0.12132040753854777	0.12132040753854777	0.22395561533119002	0.22395561533119002	0.22395561533119002	0.22395561533119002	0.22395561533119002	0.22395561533119002	0.22395561533119002	0.22395561533119002	0.22395561533119002	0.22395561533119002	0.1913401798314375	0.1913401798314375	0.1913401798314375	0.1913401798314375	0.1913401798314375	0.1913401798314375	0.1913401798314375	0.1913401798314375	0.1913401798314375	0.1913401798314375	0.1913401798314375	0.1913401798314375	0.1913401798314375	0.1913401798314375	0.1913401798314375	0.1913401798314375	0.1913401798314375	0.1913401798314375	0.1913401798314375	0.1913401798314375	0.1913401798314375	0.1913401798314375	0.1913401798314375	0.054722467939140616	0.054722467939140616	0.054722467939140616	0.054722467939140616	0.054722467939140616	0.054722467939140616	-0.41226791330802615	-0.41226791330802615	-0.41226791330802615	-0.1667140407731908	-0.1667140407731908	-0.1667140407731908	0.04329918456327779	0.04329918456327779	0.04329918456327779	0.04329918456327779	0.04329918456327779	0.04329918456327779	0.04329918456327779	0.04329918456327779	0.04329918456327779	0.04329918456327779	0.04329918456327779	0.04329918456327779	0.04329918456327779	0.04329918456327779	0.04329918456327779	0.04329918456327779	0.04329918456327779	0.04329918456327779	-0.027081164354915893	-0.027081164354915893	-0.027081164354915893	-0.027081164354915893	-0.027081164354915893	-0.027081164354915893	-0.027081164354915893	-0.027081164354915893	-0.027081164354915893	-0.027081164354915893	0.020885838063779	0.020885838063779	0.020885838063779	0.020885838063779	0.020885838063779	0.020885838063779	0.020885838063779	0.020885838063779	0.020885838063779	0.020885838063779	0.020885838063779	0.020885838063779	0.020885838063779	0.020885838063779	0.020885838063779	0.020885838063779	0.020885838063779	0.020885838063779	0.020885838063779	0.020885838063779	0.020885838063779	0.020885838063779	0.020885838063779	0.57264682524826105	0.57264682524826105	0.57264682524826105	0.57264682524826105	0.57264682524826105	0.57264682524826105
30000	0.31274848228107877	0.31274848228107877	0.31274848228107877	0.33176262722733596	0.33176262722733596	0.33176262722733596	0.16113591549612299	0.16113591549612299	0.16113591549612299	0.16113591549612299	0.16113591549612299	0.16113591549612299	0.16113591549612299	0.16113591549612299	0.16113591549612299	0.16113591549612299	0.16113591549612299	0.16113591549612299	0.16113591549612299	0.16113591549612299	0.16113591549612299	0.16113591549612299	0.16113591549612299	0.16113591549612299	0.20244387742102901	0.20244387742102901	0.20244387742102901	0.20244387742102901	0.20244387742102901	0.20244387742102901	0.20244387742102901	0.20244387742102901	0.20244387742102901	0.20244387742102901	0.23401109474923237	0.23401109474923237	0.23401109474923237	0.23401109474923237	0.23401109474923237	0.23401109474923237	0.23401109474923237	0.23401109474923237	0.23401109474923237	0.23401109474923237	0.23401109474923237	0.23401109474923237	0.23401109474923237	0.23401109474923237	0.23401109474923237	0.23401109474923237	0.23401109474923237	0.23401109474923237	0.23401109474923237	0.23401109474923237	0.23401109474923237	0.23401109474923237	0.23401109474923237	0.59887284709463928	0.59887284709463928	0.59887284709463928	0.59887284709463928	0.59887284709463928	0.59887284709463928	0.69984171724807798	0.69984171724807798	0.69984171724807798	0.3883449183394081	0.3883449183394081	0.3883449183394081	0.13714881256971628	0.13714881256971628	0.13714881256971628	0.13714881256971628	0.13714881256971628	0.13714881256971628	0.13714881256971628	0.13714881256971628	0.13714881256971628	0.13714881256971628	0.13714881256971628	0.13714881256971628	0.13714881256971628	0.13714881256971628	0.13714881256971628	0.13714881256971628	0.13714881256971628	0.13714881256971628	0.1974063354053833	0.1974063354053833	0.1974063354053833	0.1974063354053833	0.1974063354053833	0.1974063354053833	0.1974063354053833	0.1974063354053833	0.1974063354053833	0.1974063354053833	0.18631227311678167	0.18631227311678167	0.18631227311678167	0.18631227311678167	0.18631227311678167	0.18631227311678167	0.18631227311678167	0.18631227311678167	0.18631227311678167	0.18631227311678167	0.18631227311678167	0.18631227311678167	0.18631227311678167	0.18631227311678167	0.18631227311678167	0.18631227311678167	0.18631227311678167	0.18631227311678167	0.18631227311678167	0.18631227311678167	0.18631227311678167	0.18631227311678167	0.18631227311678167	0.025654572738484593	0.025654572738484593	0.025654572738484593	0.025654572738484593	0.025654572738484593	0.025654572738484593	-0.38709323496699921	-0.38709323496699921	-0.38709323496699921	-0.056582291112072136	-0.056582291112072136	-0.056582291112072136	0.023987102926406711	0.023987102926406711	0.023987102926406711	0.023987102926406711	0.023987102926406711	0.023987102926406711	0.023987102926406711	0.023987102926406711	0.023987102926406711	0.023987102926406711	0.023987102926406711	0.023987102926406711	0.023987102926406711	0.023987102926406711	0.023987102926406711	0.023987102926406711	0.023987102926406711	0.023987102926406711	0.0050375420156457129	0.0050375420156457129	0.0050375420156457129	0.0050375420156457129	0.0050375420156457129	0.0050375420156457129	0.0050375420156457129	0.0050375420156457129	0.0050375420156457129	0.0050375420156457129	0.047698821632450705	0.047698821632450705	0.047698821632450705	0.047698821632450705	0.047698821632450705	0.047698821632450705	0.047698821632450705	0.047698821632450705	0.047698821632450705	0.047698821632450705	0.047698821632450705	0.047698821632450705	0.047698821632450705	0.047698821632450705	0.047698821632450705	0.047698821632450705	0.047698821632450705	0.047698821632450705	0.047698821632450705	0.047698821632450705	0.047698821632450705	0.047698821632450705	0.047698821632450705	0.57321827435615469	0.57321827435615469	0.57321827435615469	0.57321827435615469	0.57321827435615469	0.57321827435615469
40000	0.38881637849613959	0.38881637849613959	0.38881637849613959	0.44390126237234523	0.44390126237234523	0.44390126237234523	0.15796205645564651	0.15796205645564651	0.15796205645564651	0.15796205645564651	0.15796205645564651	0.15796205645564651	0.15796205645564651	0.15796205645564651	0.15796205645564651	0.15796205645564651	0.15796205645564651	0.15796205645564651	0.15796205645564651	0.15796205645564651	0.15796205645564651	0.15796205645564651	0.15796205645564651	0.15796205645564651	0.17639291710673619	0.17639291710673619	0.17639291710673619	0.17639291710673619	0.17639291710673619	0.17639291710673619	0.17639291710673619	0.17639291710673619	0.17639291710673619	0.17639291710673619	0.21754306735968523	0.21754306735968523	0.21754306735968523	0.21754306735968523	0.21754306735968523	0.21754306735968523	0.21754306735968523	0.21754306735968523	0.21754306735968523	0.21754306735968523	0.21754306735968523	0.21754306735968523	0.21754306735968523	0.21754306735968523	0.21754306735968523	0.21754306735968523	0.21754306735968523	0.21754306735968523	0.21754306735968523	0.21754306735968523	0.21754306735968523	0.21754306735968523	0.21754306735968523	0.77374288882223485	0.77374288882223485	0.77374288882223485	0.77374288882223485	0.77374288882223485	0.77374288882223485	0.69214021093525457	0.69214021093525457	0.69214021093525457	0.45639365232429374	0.45639365232429374	0.45639365232429374	0.13892279623743869	0.13892279623743869	0.13892279623743869	0.13892279623743869	0.13892279623743869	0.13892279623743869	0.13892279623743869	0.13892279623743869	0.13892279623743869	0.13892279623743869	0.13892279623743869	0.13892279623743869	0.13892279623743869	0.13892279623743869	0.13892279623743869	0.13892279623743869	0.13892279623743869	0.13892279623743869	0.22937508044865762	0.22937508044865762	0.22937508044865762	0.22937508044865762	0.22937508044865762	0.22937508044865762	0.22937508044865762	0.22937508044865762	0.22937508044865762	0.22937508044865762	0.19305908017261805	0.19305908017261805	0.19305908017261805	0.19305908017261805	0.19305908017261805	0.19305908017261805	0.19305908017261805	0.19305908017261805	0.19305908017261805	0.19305908017261805	0.19305908017261805	0.19305908017261805	0.19305908017261805	0.19305908017261805	0.19305908017261805	0.19305908017261805	0.19305908017261805	0.19305908017261805	0.19305908017261805	0.19305908017261805	0.19305908017261805	0.19305908017261805	0.19305908017261805	0.026766335325630865	0.026766335325630865	0.026766335325630865	0.026766335325630865	0.026766335325630865	0.026766335325630865	-0.30332383243911498	-0.30332383243911498	-0.30332383243911498	-0.012492389951948513	-0.012492389951948513	-0.012492389951948513	0.019039260218207815	0.019039260218207815	0.019039260218207815	0.019039260218207815	0.019039260218207815	0.019039260218207815	0.019039260218207815	0.019039260218207815	0.019039260218207815	0.019039260218207815	0.019039260218207815	0.019039260218207815	0.019039260218207815	0.019039260218207815	0.019039260218207815	0.019039260218207815	0.019039260218207815	0.019039260218207815	-0.052982163341921434	-0.052982163341921434	-0.052982163341921434	-0.052982163341921434	-0.052982163341921434	-0.052982163341921434	-0.052982163341921434	-0.052982163341921434	-0.052982163341921434	-0.052982163341921434	0.02448398718706718	0.02448398718706718	0.02448398718706718	0.02448398718706718	0.02448398718706718	0.02448398718706718	0.02448398718706718	0.02448398718706718	0.02448398718706718	0.02448398718706718	0.02448398718706718	0.02448398718706718	0.02448398718706718	0.02448398718706718	0.02448398718706718	0.02448398718706718	0.02448398718706718	0.02448398718706718	0.02448398718706718	0.02448398718706718	0.02448398718706718	0.02448398718706718	0.02448398718706718	0.74697655349660397	0.74697655349660397	0.74697655349660397	0.74697655349660397	0.74697655349660397	0.74697655349660397
50000	0.31422835300664492	0.31422835300664492	0.31422835300664492	0.41087240371810435	0.41087240371810435	0.41087240371810435	0.1748299710707916	0.1748299710707916	0.1748299710707916	0.1748299710707916	0.1748299710707916	0.1748299710707916	0.1748299710707916	0.1748299710707916	0.1748299710707916	0.1748299710707916	0.1748299710707916	0.1748299710707916	0.1748299710707916	0.1748299710707916	0.1748299710707916	0.1748299710707916	0.1748299710707916	0.1748299710707916	0.19606946506925604	0.19606946506925604	0.19606946506925604	0.19606946506925604	0.19606946506925604	0.19606946506925604	0.19606946506925604	0.19606946506925604	0.19606946506925604	0.19606946506925604	0.21938053654133274	0.21938053654133274	0.21938053654133274	0.21938053654133274	0.21938053654133274	0.21938053654133274	0.21938053654133274	0.21938053654133274	0.21938053654133274	0.21938053654133274	0.21938053654133274	0.21938053654133274	0.21938053654133274	0.21938053654133274	0.21938053654133274	0.21938053654133274	0.21938053654133274	0.21938053654133274	0.21938053654133274	0.21938053654133274	0.21938053654133274	0.21938053654133274	0.21938053654133274	0.65162082916815978	0.65162082916815978	0.65162082916815978	0.65162082916815978	0.65162082916815978	0.65162082916815978	0.75771605415285403	0.75771605415285403	0.75771605415285403	0.406436465637732	0.406436465637732	0.406436465637732	0.1381066259254661	0.1381066259254661	0.1381066259254661	0.1381066259254661	0.1381066259254661	0.1381066259254661	0.1381066259254661	0.1381066259254661	0.1381066259254661	0.1381066259254661	0.1381066259254661	0.1381066259254661	0.1381066259254661	0.1381066259254661	0.1381066259254661	0.1381066259254661	0.1381066259254661	0.1381066259254661	0.2343321848620582	0.2343321848620582	0.2343321848620582	0.2343321848620582	0.2343321848620582	0.2343321848620582	0.2343321848620582	0.2343321848620582	0.2343321848620582	0.2343321848620582	0.18546720740005315	0.18546720740005315	0.18546720740005315	0.18546720740005315	0.18546720740005315	0.18546720740005315	0.18546720740005315	0.18546720740005315	0.18546720740005315	0.18546720740005315	0.18546720740005315	0.18546720740005315	0.18546720740005315	0.18546720740005315	0.18546720740005315	0.18546720740005315	0.18546720740005315	0.18546720740005315	0.18546720740005315	0.18546720740005315	0.18546720740005315	0.18546720740005315	0.18546720740005315	0.054156986401088736	0.054156986401088736	0.054156986401088736	0.054156986401088736	0.054156986401088736	0.054156986401088736	-0.44348770114620911	-0.44348770114620911	-0.44348770114620911	0.004435938080372348	0.004435938080372348	0.004435938080372348	0.036723345145325492	0.036723345145325492	0.036723345145325492	0.036723345145325492	0.036723345145325492	0.036723345145325492	0.036723345145325492	0.036723345145325492	0.036723345145325492	0.036723345145325492	0.036723345145325492	0.036723345145325492	0.036723345145325492	0.036723345145325492	0.036723345145325492	0.036723345145325492	0.036723345145325492	0.036723345145325492	-0.038262719792802158	-0.038262719792802158	-0.038262719792802158	-0.038262719792802158	-0.038262719792802158	-0.038262719792802158	-0.038262719792802158	-0.038262719792802158	-0.038262719792802158	-0.038262719792802158	0.033913329141279591	0.033913329141279591	0.033913329141279591	0.033913329141279591	0.033913329141279591	0.033913329141279591	0.033913329141279591	0.033913329141279591	0.033913329141279591	0.033913329141279591	0.033913329141279591	0.033913329141279591	0.033913329141279591	0.033913329141279591	0.033913329141279591	0.033913329141279591	0.033913329141279591	0.033913329141279591	0.033913329141279591	0.033913329141279591	0.033913329141279591	0.033913329141279591	0.033913329141279591	0.5974638427670711	0.5974638427670711	0.5974638427670711	0.5974638427670711	0.5974638427670711	0.5974638427670711
60000	0.35094316521644697	0.35094316521644697	0.35094316521644697	0.30740982703840269	0.30740982703840269	0.30740982703840269	0.15681969548507435	0.15681969548507435	0.15681969548507435	0.15681969548507435	0.15681969548507435	0.15681969548507435	0.15681969548507435	0.15681969548507435	0.15681969548507435	0.15681969548507435	0.15681969548507435	0.15681969548507435	0.15681969548507435	0.15681969548507435	0.15681969548507435	0.15681969548507435	0.15681969548507435	0.15681969548507435	0.20023345020864317	0.20023345020864317	0.20023345020864317	0.20023345020864317	0.20023345020864317	0.20023345020864317	0.20023345020864317	0.20023345020864317	0.20023345020864317	0.20023345020864317	0.22061114738002643	0.22061114738002643	0.22061114738002643	0.22061114738002643	0.22061114738002643	0.22061114738002643	0.22061114738002643	0.22061114738002643	0.22061114738002643	0.22061114738002643	0.22061114738002643	0.22061114738002643	0.22061114738002643	0.22061114738002643	0.22061114738002643	0.22061114738002643	0.22061114738002643	0.22061114738002643	0.22061114738002643	0.22061114738002643	0.22061114738002643	0.22061114738002643	0.22061114738002643	0.59427865696700111	0.59427865696700111	0.59427865696700111	0.59427865696700111	0.59427865696700111	0.59427865696700111	0.77277917666477736	0.77277917666477736	0.77277917666477736	0.3781867901929481	0.3781867901929481	0.3781867901929481	0.14393173364129522	0.14393173364129522	0.14393173364129522	0.14393173364129522	0.14393173364129522	0.14393173364129522	0.14393173364129522	0.14393173364129522	0.14393173364129522	0.14393173364129522	0.14393173364129522	0.14393173364129522	0.14393173364129522	0.14393173364129522	0.14393173364129522	0.14393173364129522	0.14393173364129522	0.14393173364129522	0.18483275468369398	0.18483275468369398	0.18483275468369398	0.18483275468369398	0.18483275468369398	0.18483275468369398	0.18483275468369398	0.18483275468369398	0.18483275468369398	0.18483275468369398	0.22098147130956025	0.22098147130956025	0.22098147130956025	0.22098147130956025	0.22098147130956025	0.22098147130956025	0.22098147130956025	0.22098147130956025	0.22098147130956025	0.22098147130956025	0.22098147130956025	0.22098147130956025	0.22098147130956025	0.22098147130956025	0.22098147130956025	0.22098147130956025	0.22098147130956025	0.22098147130956025	0.22098147130956025	0.22098147130956025	0.22098147130956025	0.22098147130956025	0.22098147130956025	0.091484338166681986	0.091484338166681986	0.091484338166681986	0.091484338166681986	0.091484338166681986	0.091484338166681986	-0.42183601144833038	-0.42183601144833038	-0.42183601144833038	-0.070776963154545403	-0.070776963154545403	-0.070776963154545403	0.012887961843779133	0.012887961843779133	0.012887961843779133	0.012887961843779133	0.012887961843779133	0.012887961843779133	0.012887961843779133	0.012887961843779133	0.012887961843779133	0.012887961843779133	0.012887961843779133	0.012887961843779133	0.012887961843779133	0.012887961843779133	0.012887961843779133	0.012887961843779133	0.012887961843779133	0.012887961843779133	0.015400695524949187	0.015400695524949187	0.015400695524949187	0.015400695524949187	0.015400695524949187	0.015400695524949187	0.015400695524949187	0.015400695524949187	0.015400695524949187	0.015400695524949187	-0.00037032392953381676	-0.00037032392953381676	-0.00037032392953381676	-0.00037032392953381676	-0.00037032392953381676	-0.00037032392953381676	-0.00037032392953381676	-0.00037032392953381676	-0.00037032392953381676	-0.00037032392953381676	-0.00037032392953381676	-0.00037032392953381676	-0.00037032392953381676	-0.00037032392953381676	-0.00037032392953381676	-0.00037032392953381676	-0.00037032392953381676	-0.00037032392953381676	-0.00037032392953381676	-0.00037032392953381676	-0.00037032392953381676	-0.00037032392953381676	-0.00037032392953381676	0.50279431880031911	0.50279431880031911	0.50279431880031911	0.50279431880031911	0.50279431880031911	0.50279431880031911
