taxon	ND2	ND4	omega-globin	cytb	apolipoprotein-B	BRCA1	Rag1	IRBP	von-Willebrand-factor	
Petaurus abidi	GQ323834,GQ323835	GQ323903	GQ323973		GU199269	GU199275	GU199309	GU199303	GU199315	
Petaurus breviceps	HM348552,GQ323859,GQ323837	GQ323904,GQ323922,GQ323937	HM348585,HM348576,GQ324024,GQ324021	FJ657660,FJ657661,FJ657662	AY243433,JN413938	EU160443	AY243400	AY243441	AY243417	
Petaurus gracilis	GQ323869	GQ323936	GQ324001	HQ284045,HQ284044						
Petaurus norfolcensis	GQ323868,AF300995,GQ323867	GQ323933,GQ323935,GQ323934	GQ323999,GQ324000	FJ657564,FJ657541,FJ657606	FJ623979	FJ623999	FJ624041	FJ624017	FJ624065	
Petaurus australis	GQ323890,GQ323888,GQ323887	GQ323955,GQ323956,GQ323957	GQ323974,GQ323979							
