taxon	unknown	unknown.1	unknown.2	unknown.3	unknown.4	unknown.5	unknown.6	unknown.7	unknown.8	ADRB2	unknown.9	unknown.10	unknown.11	unknown.12	unknown.13	M141	M133	
Mylodon darwinii							AF232014											
Nothrotheriops shastensis							AF232015											
Bradypus torquatus			EU301714				HM352900											
Bradypus variegatus	GQ169527			AB011218			HM352898											
Calyptophractus retusus		FR821713			FR821711	FR821705		FR821709										
Manis pentadactyla								JN414168		AY011311		AY011251	AY011438		AY011501			
Manis tricuspis								JN414169		JN633678		JN633424	JN633735		JN633373			
Chaetophractus villosus		U61080			AJ505835	FR821706		AF284000		AY011255		AY011194	AY011380		AY011444			
Choloepus didactylus			HQ186779	AJ505830		AJ278160	AF232012	AF484229		AY011253		AY011192	AY011378		AY011442			
Dasypus novemcinctus		U67286				AJ278158		AF283999	EF465559		EF465619			EF465822		EF465885	EF465925	
Myrmecophaga tridactyla				AJ505831		AJ278157		AF484232		AY011257		AY011196	AY011382		AY011446			
Tolypeutes tricinctus									EF465561		EF465621			EF465824		EF465887	EF465927	
Dasypus kappleri		AJ505825			AJ505833	AJ427361		AF484223	EF465560		EF465620			EF465823		EF465886	EF465926	
Chaetophractus vellerosus									EF465565		EF465626			EF465828		EF465891	EF465930	
Cyclopes didactylus				AJ505832		AJ278156		AF484231		JN633663	EF465630	JN633418	JN633729	EF465831	JN633365	EF465895	EF465934	
Chlamyphorus truncatus		FR821712			FR821710	FR821704		FR821708	EF465564		EF465623			EF465826		EF465889	EF465929	
Zaedyus pichiy		FR821714			AJ505836	AJ427365		AF484226	EF465566		EF465627			EF465829		EF465892	EF465931	
Priodontes maximus		AJ505829			AJ505838	AJ427363		AF484225	EF465562		EF465622			EF465825		EF465888	EF465928	
Cabassous unicinctus		AJ278151			AB011217	AJ278159		AF484228	EF465563		EF465624			EF465827		EF465890		
Choloepus hoffmanni	GQ169517		HQ186760			JN415027		JN414134	EF465571	AY011252	EF465631	AY011191	AY011377	EF465833	AY011441	EF465896	EF465935	
Tamandua tetradactyla			JF459282	AB011216		AJ278161	AF232021	AF484230		AY011256		AY011195	AY011381	EF465832	AY011445	EF465894	EF465933	
Euphractus sexcinctus		AJ505826			AJ505834	AJ427364		AF484224	EF465567	AY011254	EF465625	AY011193	AY011379	EF465830	AY011443	EF465893	EF465932	
