taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	
Orthogeomys cavator						L38474			L32686									
Geomys pinetis															AF084303		AF158698	
Thomomys mazama				AY331257		AF215806	AY331236											
Cratogeomys gymnurus				AY506569	AY506563	AF302179	AY506566											
Cratogeomys zinseri				AY331239	AY331074	AF302170	AY331218											
Orthogeomys grandis				AY331247		AY331212	AY331226					EF156796	EF156831					
Geomys bursarius						L38469				L32693				AF332028	U67300	AM909804		
Zygogeomys trichopus				AY331252	AY331087	L38465	AY331231			L32695		EF156795	EF156830					
Pan paniscus	HM763123	AY276085	HM763236					AY055365			X86381							
Pan troglodytes	HM763125	AY276623	HM763238					U14710			X86380							
Pappogeomys bulleri				AY331249	EU880373	AF302168	AY331228			L32684		EF156797	EF156832		EU551798			
Thomomys bottae	JF938841		AY303196	AY331253		U65258	AY331232							HQ141777	AF084289			
