taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	
Sus philippensis				DQ779371					AY920905			
Sus salvanius				EF472247					EU107788			
Catagonus wagneri	AY546514		AY546534	AY546520	AY546527				U66291			
Tayassu pecari	AY546513		AY546535	AY546516	AY546528				AY534303			
Hylochoerus meinertzhageni	GQ338941			GQ338959	GQ339033			GQ906180	GQ338968	GQ339098	GQ339089	
Phacochoerus aethiopicus				AJ314537	AJ311276			GQ906186	AJ314551	GU204954	GU204953	
Camelus dromedarius	DQ334811	AY239183				AY994148	EU041912		X56281			
Camelus bactrianus	Y08808		AF165633			AY994147	EU041913		AY126625			
Pecari tajacu	U13097	JN414896	AY546533	AF276938	DQ190909	EU189387	EU041911		DQ179071			
Potamochoerus larvatus				GQ338957	GQ339031			GQ906173		GQ339096	GQ339087	
Babyrousa babyrussa	AF107219	EU189410		AJ314546	AJ311283			GQ906193	GQ338970	GQ339100	GQ339091	
Potamochoerus porcus	EU189381			GQ338958	GQ339032			GQ906176		GQ339097	GQ339088	
Phacochoerus africanus	GQ338942			AJ314534	AJ311271			GQ906184	GQ338969	GQ339099	GQ339090	
