taxon	ND2	BRCA1	IRBP	vWF	
Trichosurus arnhemensis	AF343890				
Trichosurus vulpecula	AF300999,GQ323897,GQ323894	EF025765	JN414764	JN415022	
Trichosurus caninus	AF343891	EF025761	FJ624028	FJ624075	
Trichosurus johnstonii		FJ624005	FJ624029	FJ624076	
