Iteration	posterior	NumSpeciation	numExtinction	numMassExtinctions 
100	-284.780565107803	4	3	1
200	-297.292495470303	5	2	3
300	-285.176865348415	4	3	2
400	-297.071468869358	6	2	3
500	-290.02020073512	2	3	4
600	-295.46852861973	4	5	3
700	-283.911535209126	2	2	3
800	-298.775479616241	3	2	5
900	-292.69091529382	5	2	2
1000	-290.594773169928	4	1	4
1100	-300.958995393792	3	2	6
1200	-280.021792157115	2	1	3
1300	-301.580425966706	2	2	6
1400	-284.489465653575	2	1	4
1500	-299.79846448554	2	1	6
1600	-289.178728842174	3	2	4
1700	-290.304833167245	3	4	3
1800	-296.673948640021	3	3	4
1900	-301.526233722229	5	3	4
2000	-317.740067583078	5	4	7
2100	-289.600710441138	4	2	3
2200	-284.276192842512	3	2	3
2300	-286.076705857543	2	4	2
2400	-291.22522755227	2	3	4
2500	-282.954420265234	2	4	2
2600	-287.559648325084	2	2	4
2700	-283.507839681867	2	1	2
2800	-301.018621139853	2	3	6
2900	-278.511484787721	3	1	2
3000	-291.268683807408	3	2	4
3100	-283.663099016131	3	2	2
3200	-286.06995630248	4	1	2
3300	-302.618178612295	3	1	5
3400	-285.142320344789	3	3	2
3500	-290.504096257655	5	3	2
3600	-306.968276724133	3	4	5
3700	-286.795343549949	4	2	2
3800	-292.380460550474	4	4	2
3900	-283.665294055102	3	2	3
4000	-283.623370030107	3	1	3
4100	-282.714445818211	5	1	2
4200	-295.511414081073	3	5	3
4300	-296.03034482813	2	3	5
4400	-281.479446669632	3	1	3
4500	-282.285956666705	3	1	3
4600	-289.940688941714	5	1	2
4700	-282.622509963097	5	1	1
4800	-292.531266885461	6	1	2
4900	-280.281251440906	3	1	1
5000	-303.65283484293	5	3	4
5100	-288.394484066514	4	3	3
5200	-287.01759901536	5	3	2
5300	-276.494079491559	4	2	1
5400	-299.728916441649	7	1	4
5500	-285.363300061367	4	3	2
5600	-293.61374178881	6	2	2
5700	-289.614080939334	4	1	2
5800	-280.4515004487	3	1	2
5900	-283.619918737596	4	2	2
6000	-291.64856665405	6	1	3
6100	-284.816072988017	4	2	2
6200	-294.379262875525	4	4	3
6300	-293.215574654311	6	1	2
6400	-290.288340236747	4	4	2
6500	-282.067768527378	3	3	2
6600	-289.462229889971	2	2	4
6700	-289.164416344415	3	2	3
6800	-280.483356082275	4	1	2
6900	-297.760229205843	3	4	4
7000	-285.152471451727	4	2	1
7100	-294.609915542377	4	2	4
7200	-300.216480712176	3	3	4
7300	-291.854260921335	2	2	3
7400	-303.506440981763	7	5	1
7500	-294.074383030853	5	5	2
7600	-291.830203886848	4	2	3
7700	-285.286724738364	7	1	1
7800	-301.874805862115	7	2	2
7900	-298.866787285942	4	1	5
8000	-318.981439293549	6	2	7
8100	-291.810280783099	5	3	2
8200	-298.775731492941	4	3	4
8300	-292.519867428702	4	3	3
8400	-290.786359233509	5	2	2
8500	-296.604800321972	4	6	1
8600	-306.6807243451	7	3	2
8700	-279.043901512009	4	1	1
8800	-292.885597147544	5	1	3
8900	-286.360273942094	4	4	1
9000	-289.739798856821	3	1	3
9100	-286.118237787989	5	2	1
9200	-292.417469080119	5	2	4
9300	-287.173159985095	5	3	1
9400	-286.255969590653	5	3	2
9500	-283.968965119592	4	3	2
9600	-285.20419519292	5	2	1
9700	-287.457453634918	3	4	2
9800	-291.91462480008	4	1	3
9900	-290.098207077567	5	4	1
10000	-299.865258936332	5	4	2
10100	-302.266035782278	7	2	3
10200	-299.542080531248	6	2	4
10300	-285.289853030433	5	3	1
10400	-285.9496316262	3	2	3
10500	-286.333733473555	4	2	1
10600	-287.377054535065	3	4	1
10700	-280.009942053207	2	2	1
10800	-309.160573351242	2	3	6
10900	-287.257487345281	2	1	3
11000	-294.272046238231	3	2	3
11100	-287.272270297348	3	2	2
11200	-293.115457103352	3	3	2
11300	-295.239574024521	3	1	3
11400	-291.735327277067	3	3	1
11500	-289.542319689383	3	2	4
11600	-291.048674124564	4	2	3
11700	-299.227964883394	3	2	5
11800	-283.879981431011	2	1	2
11900	-293.978162561978	4	1	4
12000	-282.03796598545	4	1	2
12100	-292.239430103664	4	2	3
12200	-286.388252754012	2	1	4
12300	-285.26896276166	2	1	3
12400	-291.661604883141	2	2	5
12500	-287.316775547789	2	1	4
12600	-304.367897929136	3	3	5
12700	-308.057317676833	2	2	6
12800	-300.37395870211	2	2	4
12900	-297.667358033382	4	2	4
13000	-285.182914763296	3	3	2
13100	-286.55566822207	4	2	2
13200	-287.535248952621	2	1	3
13300	-296.207835903623	2	1	4
13400	-294.851508061188	3	3	5
13500	-292.907232199432	4	2	3
13600	-289.836448715407	3	5	2
13700	-294.058720473762	4	3	3
13800	-295.515944859561	5	1	2
13900	-285.238305305194	3	3	2
14000	-287.764523731238	2	4	2
14100	-288.051918865159	3	1	3
14200	-279.693143004871	2	2	2
14300	-286.203024227923	2	1	4
14400	-284.543102876096	2	4	3
14500	-287.43999752897	3	1	4
14600	-286.410682704774	2	3	3
14700	-285.290272552673	2	2	4
14800	-275.798170352623	2	1	3
14900	-283.503563701829	2	3	2
15000	-287.785719888848	2	6	2
15100	-287.525642807843	2	2	4
15200	-285.847572891111	2	1	4
15300	-289.288195302124	2	3	4
15400	-278.23727456023	2	1	2
15500	-295.726944223694	2	3	5
15600	-289.272077397781	2	2	4
15700	-282.052914322602	3	2	3
15800	-309.646946032645	4	5	5
15900	-322.062448713185	4	5	7
16000	-283.450534438473	2	2	2
16100	-295.034057176262	3	1	5
16200	-284.586128981552	1	2	2
16300	-291.772327702972	2	3	2
16400	-292.681110504445	3	3	4
16500	-292.108814973056	3	3	3
16600	-316.046668766162	3	1	7
