bessoecetor
bogdia
buxolestes
chadronia
cryptopithecus
cymaprimadon
gobiopithecus
hyracolestes
kiinkerishella
micropternodontidae
micropternodus
mixotheridia
nesophontes
nosella
oboia
opsiclaenodon
pagonomus
pakilestes
palaeoryctoidea
palaeosinopa
pantolestes
pantolestidae
pantolestinae
pantomimus
propalaeosinopa
proteutheria
soricoidea
