altacreodus
ambloctonus
anasinopa
apataelurus
apterodon
buhakia
creodonta
dipsalidictis
dipsalodon
dissopsalis
hyaenodon
hyainailouros
isohyaenodon
leakeytherium
leakitherium
lesmesodon
machaeroides
malfelis
masrasector
megistotherium
metapterodon
metasinopa
namasector
oxyaena
oxyaenidae
palaeonictis
paratritemnodon
patriofelis
prionogale
protopsalis
proviverra
pterodon
sarkastodon
sinopa
teratodon
tytthaena
