aethomylos
apatemys
arvaldus
cryptoryctes
dracontolestes
eudaemonema
frugivastodon
heterohyus
jepsenella
labidolemur
mesoscalops
mixodectes
namagale
oligoscalops
proscalops
pseudictops
russellmys
sinclairella
unuchinia
