afrochoerodon
afromastodon
amahuacatherium
amebelodon
anancus
anthracobune
archaeobelodon
archidiskodon
barytherium
chilgatherium
choerolophodon
cuvieronius
daouitherium
deinotherium
dibelodon
elephas
eozygodon
eritherium
eritreum
eubelodon
gnathabelodon
gomphotherium
haplomastodon
hemimastodon
hypselephas
losodokodon
loxodonta
mammut
mammuthus
mastodon
miomastodon
moeritherium
morrillia
neodesmostylus
numidotherium
omanitherium
palaeoloxodon
palaeomastodon
paratetralophodon
phiomia
phosphatherium
platybelodon
primelephas
prodeinotherium
progomphotherium
protanancus
rhynchotherium
rulengchia
selenolophodon
serbelodon
serridentinus
sinomastodon
stegodibelodon
stegodon
stegolophodon
stegomastodon
stegotetrabelodon
tetrabelodon
tetralophodon
trilophodon
turicius
zygolophodon
