andinodus
archaeohyracotherium
argyrolambda
bomburia
bubogonia
chacomylus
choeroclaenus
didolodus
ellipsodon
enneoconus
ernestokokenia
escribania
euhookeria
hilalia
hyopsodus
kharmerungulatum
lamegoia
lessnessina
litaletes
machocyon
merialus
microhyus
midiagnus
mioclaenus
molinodus
obashtakaia
obtususdon
orthaspidotherium
oxybunotherium
parabunodon
paschatherium
paulogervaisia
perutherium
proectocion
promioclaenus
prothryptacodon
protoselene
pucanodus
pugiodens
quettacyon
raulvaccia
ricardocifellia
salladolodus
simoclaenus
sororocyon
tingamarra
tiuclaenus
tiznatzinia
umayodus
valenia
vulpavoides
yuodon
