aaptoryctes
abdounodus
aboletylestes
aceroryctes
acinacodus
acmeodon
acristatherium
adapisoriculidae
adapisoriculus
adeloblarina
adelodelphys
aegialodon
afrodon
akidolestes
aletridelphys
aliaga
alloblarinella
allostylops
allotheria
allqokirus
alluvisorex
alostera
alticonus
alymlestes
ambilestes
amblotherium
amblycoptus
amblysomus
ambondro
ameghinichnus
amelotabes
amphidon
amphidontidae
amphidozotherium
amphigyion
amphiperatherium
amphitherium
ampliconus
anacodon
anatolostylops
anchiblarinella
anchilestes
anchistodelphys
andinodelphys
angustidens
anisonchus
anourosorex
antesorex
anthracolestes
apriculus
apternodontidae
apternodus
araeodon
aralosorex
arboroharamiya
arcantiodelphys
archaeonothos
archaeotrigon
arcticanodon
arctisorex
arctocyon
arctocyonidae
arctocyonides
arctostylopidae
arctostylops
arenagale
argaliatherium
arguimus
armintodelphys
artiodactylamorpha
asfaltomylos
asiadidelphis
asiapternodus
asiatherium
asionyctia
asioryctes
asioryctitheria
asiostylops
asoriculus
aspanlestes
atasorex
atlasodon
auraria
auroratherium
ausktribosphenos
avitotherium
avunculus
baioconodon
barberenia
barunlestes
bayanulanius
beckiasorex
belgoryctes
beremendia
bharattherium
bishops
blacktops
blarina
blarinella
blarinini
blarinoides
bobolestes
bondesius
boreosphenida
borisodon
bothriostylops
brachianodon
brandonia
bryanictis
builstynia
bulaklestes
bumbanius
bustylus
butselia
camptomus
canchadelphys
carcinodon
carinalestes
caroloameghinia
caroloameghiniinae
carolozittelia
carposorex
ceutholestes
chainodus
chambilestes
changlelestes
chimarrogale
chlorotalpa
chriacus
chrysochloridae
chrysochloris
chrysospalax
chungchienia
chunnelodon
cladotheria
claenodon
clapasorex
clinopternodus
cokia
colpoclaenus
comotherium
conacodon
conacodontinae
conoryctella
conoryctes
conoryctidae
copecion
copedelphys
cordylodon
crocidosorex
crocidosoricinae
crocidura
crocidurinae
crusafontina
cryptotis
cryptotopos
culicolestes
dakotadens
dakshina
darbonetus
daulestes
dawsonicyon
deccanolestes
deinsdorfia
delphodon
deltatheridia
deltatheridium
deltatherium
desmatoclaenus
deuterogonodon
diacocherus
diacodon
diamantochloris
diaphyodectes
didelphidectes
didelphodontinae
didymictis
dilambdogale
dimylidae
dimyloides
dimylus
dinosorex
dipassalus
diplocynodontidae
diplomesodon
domnina
