ankotarinja
antechinus
archerium
badjcinus
barinya
dasyurus
glaucodon
joculusium
keeuna
maximucinus
mayigriphus
muribacinus
mutpuracinus
nimbacinus
phascogale
planigale
sarcophilus
sminthopsis
thylacinus
tyarrpecinus
wabulacinus
wakamatha
