adiastaltus
ahytherium
amphiocnus
anathitus
asterostemma
australonyx
bolivartherium
boreostemma
bradypus
catonyx
chasicobradys
chlamyphractus
choloepus
clypeotherium
cochlops
comaphorus
cranithlastus
eionaletherium
eleutherocercus
encinepeltus
eomegatherium
eosclerocalyptus
eremotherium
eucholoeops
glossotheriopsis
glossotherium
glyptatelus
glyptodon
hapalops
hiskatherium
hoplophorus
imagocnus
kiyumylodon
lestobradys
lestodon
lomaphorelus
lomaphorops
megabradys
megalonychops
megalonyx
megathericulus
megatherium
meizonyx
mesocnus
microcnus
miocnus
mirandabradys
mylodonopsis
myrmecophaga
nematherium
neoglyptatelus
neohapalops
neonematherium
neosclerocalyptus
neotamandua
neuryurus
nothropus
nothrotheriops
nothrotherium
nunezia
ocnopus
octomylodon
orthoarthrus
ortotherium
palaehoplophorus
palaeopeltis
panochthus
paraglyptodon
parahoplophorus
paramylodon
paranabradys
parapropalaehoplophorus
paroctodontotherium
paulocnus
pelecyodon
pliomegatherium
pliometanastes
pliomorphus
plohophorus
praolestes
prepotherium
proeremotherium
prolestodon
promegatherium
promylodon
pronothrotherium
propalaehoplophorus
proplatyarthrus
proscelidodon
protamandua
protoglyptodon
protomegalonyx
pseudictops
pseudoeuryurus
pseudoglyptodon
pseudoplohophorus
pseudoprepotherium
pyramiodontherium
ranculcus
scelidodon
scelidotherium
schismotherium
sclerocalyptus
sphenotherus
stenodon
strabosodon
tamandua
thalassocnus
thinobadistes
torcellia
trachycalyptus
urotherium
urumaquia
valgipes
xyophorus
