acrobates
aepyprymnus
alkwertatherium
archaeosimos
balbaroo
barguru
baringa
bettongia
bohra
bulungamaya
burramys
cercartetus
cookeroo
darcius
diprotodon
dorcopsoides
durudawiri
ekaltadeta
euowenia
ganawamaya
ganguroo
gawinga
gumardee
hadronomas
hypsiprymnodon
ilaria
invictokoala
jackmahoneya
kolopsis
kolopsoides
kukaodonta
kurrabi
kuterintja
lagorchestes
lasiorhinus
litokoala
macropus
madakoala
maokopia
marada
marlu
metasthenurus
miralina
nambaroo
neohelos
ngamaroo
nimbadon
nimbavombatus
nototherium
paljara
palorchestes
perikoala
petauroides
petaurus
phascolarctos
phascolonus
pildra
plaisiodon
potorous
prionotemnus
priscakoala
priscileo
procoptodon
propleopus
protemnodon
pseudocheirops
pseudocheirus
pseudochirops
pseudokoala
purtia
pyramios
raemeotherium
rhizophascolonus
silvaroo
simosthenurus
sthenurus
strigocuscus
thylacoleo
thylogale
tjukuru
trichosurus
vombatus
wabularoo
wakaleo
wakiewakie
wallabia
wanburoo
warendja
watutia
zygomaturus
