afrohyrax
antilohyrax
brachyhyrax
bunohyrax
dendrohyrax
dimaitherium
geniohyus
gigantohyrax
hengduanshanhyrax
heterohyrax
hyracoidea
kvabebihyrax
megalohyrax
meroehyrax
microhyrax
namahyrax
pachyhyrax
parapliohyrax
pliohyracidae
pliohyrax
postschizotherium
procavia
procaviidae
prohyrax
rukwalorax
rupestrohyrax
saghatheriinae
saghatherium
seggeurius
selenohyrax
sogdohyrax
thyrohyrax
titanohyracinae
titanohyrax
