anadasypus
anantiosodon
archaeutatus
astegotherium
asterostemma
barrancatatus
chaetophractus
chasicotatus
chorobates
coelutaetus
dasypus
doellotatus
euphractus
eutatus
glyptodon
holmesina
holozaedyus
kraglievichia
kuntinaru
machlydotherium
macrochorobates
macroeuphractus
mazzoniphractus
meteutatus
nanoastegotherium
neophractus
pachyarmatherium
pampatherium
parastegosimpsonia
parutaetus
pedrolypeutes
peltephilus
plaina
pliodasypus
priodontes
proeuphractus
proeutatus
propalaehoplophorus
propraopus
prostegotherium
prozaedius
prozaedyus
pseudeutatus
pseudostegotherium
riostegotherium
sadypus
scirrotherium
tolypeutes
utaetus
vetelia
yuruatherium
zaedyus
