adinodon
amphiperatherium
asiadidelphis
australidelphia
bistius
carolocoutoia
carolopaulacoutoia
cocatherium
coona
darcius
derorhynchidae
derorhynchus
didelphopsis
djarthia
djilgaringa
duquettichnus
ektopodon
ektopodontidae
eobrasilia
gashternia
guggenheimia
hatcheritherium
hondonadia
incadolops
indodelphis
itaboraidelphys
kirutherium
kiruwamaq
kokopellia
marambiotherium
marmosopsis
marsupialia
monodelphopsis
muramura
namilamadeta
ngapakaldia
numbigilga
palangania
palorchestidae
patene
pauladelphys
peradectes
peratherium
periprotodidelphis
perulestes
petauroidea
pilkipildra
protodidelphidae
protodidelphis
rumiodon
sasawatsu
siamoperadectes
sternbergiidae
thylacotinga
wamradolops
wirunodon
wynyardia
xenostylos
zeusdelphys
