abelmoschomys
abrosomys
abrothrix
abudhabia
acarechimys
acaremys
acomys
acritoparamys
acritophiomys
actenomys
adelomyarion
adelomys
adelphomys
adjidaumo
adolomys
advenimus
aenigmys
aepyosciurus
aeretes
aethomys
afaromys
africanomys
afrocricetodon
agathaeromys
ageitonomys
agnotocastor
ailuravus
akodon
aksyiromys
aktaumys
akzaromys
alactagulus
alagomys
alashania
alaymys
albanensia
aliveria
allactaga
allocricetodon
allocricetus
alloeumyarion
allohuaxiamys
allomys
allophaiomys
allorattus
allosminthus
alphagaulus
alticola
altomiramys
alwoodia
amblycastor
ameniscomys
ameuromys
ammospermophilus
amphidyromys
anatolomys
anchitheriomys
andemys
andersomys
andinomys
andrewsimys
anoemys
anomalomys
anomalurus
anomoemys
ansomys
antecalomys
antemus
anthracoglis
anthracomys
apatosciuravus
apeomys
apletotomeus
aplodontia
apocricetus
apodecter
apodemus
arabosminthus
aragoxerus
aralocricetodon
aralomys
aratomys
arazamys
arborimus
archaeomys
arctomyoides
ardynomys
argorheomys
argouburus
argyromys
arikareeomys
armantomys
armintomys
artigasia
arvicanthis
arvicola
asiacastor
asianeomys
asiaparamya
asiaparamys
asterattus
asteromys
atavocricetodon
atherurus
atlantoxerus
atopomys
aulolithomys
australoprocta
bagacricetodon
bahomys
baiomys
baluchimys
banderomys
bandicota
baranomys
basalomys
basirepomys
bathyergoides
bathyergus
belomys
bensonomys
birbalomys
birkamys
bjornkurtenia
blackia
blainvillimys
blancomys
blentosomys
bohlinosminthus
bolosomys
boltimys
borsodia
bounomys
brachyrhizomys
brachyscirtetes
branisamyopsis
branisamys
bransatoglis
bugtimys
bujoromys
bumbanomys
byzantinia
cachiyacuy
callosciurus
calomys
calomyscus
campestrallomys
canaanimys
cannomys
capacikala
capatanka
carbomys
cardiatherium
cardiocranius
castillomys
castor
castoroides
castromys
cavia
caviocricetus
caviodon
cedromus
celadensia
centimanomys
centralomys
cephalomyopsis
cephalomys
ceratogaulus
chaetodipus
chalicomys
changquin
chapattimys
chardina
chardinomys
chenomys
chionomys
chiromyscus
chiropodomys
chkhikvadzomys
chloromys
chubutomys
chukimys
churcheria
cincamyarion
citellus
clethrionomys
cocomys
coelodontomys
coendou
collimys
comtia
confiniummys
copemys
corbarimys
cordimus
cosomys
cratogeomys
cremnomys
cricetinus
cricetodon
cricetops
cricetulodon
cricetulus
cricetus
cristadjidaumo
cromeromys
crucimys
cryptomys
csakvaromys
ctenomys
cuniculus
cupidinimus
cupressimus
cyclomylus
cylindrodon
cynomyoides
cynomys
dakhlamys
dakkamyoides
dakkamys
dakotallomys
dasymys
dasyprocta
dawsonomys
debruijnia
debruijnimys
democricetodon
dendromus
dendromys
deperetomys
deseadomys
desmodillus
diamantomys
dianomys
diatomys
dicardia
dicolpomys
dicrostonyx
dikkomys
dilatomys
dinaromys
diplolophus
dipodomys
dipoides
diprionomys
dipus
disallomys
distylomys
dolicavia
dolichotis
dolomys
dolosimus
douglassciurus
downsimus
downsimys
draconomys
dremomys
dryomimus
dryomys
drytomomys
dudumus
dushimys
dystylomys
ecclesimus
ectropomys
edirnella
elfomys
eligmodontia
eliomys
eliurus
ellobius
elmerimys
elymys
enginia
entoptychus
eobranisamys
