albertogaudrya
antarctodon
astraponotus
astrapotheria
astrapothericulus
astrapotheriidae
astrapotherium
eoastrapostylops
granastrapotherium
grypolophodon
henricofilholia
hilarcotherium
maddenia
notorhinus
parastrapotherium
scaglia
shecenia
tetragonostylops
trigonostylopidae
trigonostylops
uruguaytheriinae
uruguaytherium
xenastrapotherium
