acarictis
akhnatenavus
allopterodon
anasinopa
apterodon
arfia
boritia
boualitomus
brychotherium
buhakia
cynohyaenodon
dissopsalis
eoproviverra
eurotherium
furodon
galecyon
gazinocyon
geiselotherium
glibzegdouia
hemipsalodon
hyaenailurus
hyaenodon
hyainailouros
imperatoria
indohyaenodon
iridodon
ischnognathus
isohyaenodon
isphanatherium
koholia
kyawdawia
lahimia
leakitherium
leonhardtina
limnocyon
masrasector
matthodon
megistotherium
metapterodon
metasinopa
minimovellentodon
mlanyama
morlodon
neoparapterodon
orienspterodon
oxyaenodon
oxyaenoides
paratritemnodon
parvagula
parvavorodon
preregidens
prodissopsalis
prolaena
prolimnocyon
propterodon
prototomus
proviverra
proviverroides
pterodon
pyrocyon
sinopa
teratodon
thereutherium
thinocyon
tinerhodon
tritemnodon
yarshea
