acheronictis
acinonyx
acrophoca
actiocyon
adcrocuta
adelphailurus
adelpharctos
adilophontes
aelurocyon
aelurodon
aeluroidea
africanictis
afrocyon
afrophoca
afrosmilus
agnotherium
agriotherium
ailurarctos
ailuropoda
ailurus
aivukus
aktaucyon
alachtherium
alagtsavbaatar
albanosmilus
algarolutra
allocyon
allodesminae
allodesmus
allohyaena
alopecocyon
alopex
amblonyx
amphicticeps
amphictis
amphicynodon
amphicyon
amphicyonidae
amphicyoninae
amphicyonodon
amphicyonopsis
amphimachairodus
ampictis
anatolictis
anictis
aonix
aonyx
aonyxini
archaeocyon
archaeodobenus
arctictis
arctocephalinae
arctocephalus
arctodus
arctogalidia
arctoidea
arctomeles
arctonasua
arctonyx
arctotherium
arikarictis
asiavorator
atilax
atopotarus
australophoca
ballusia
baranogale
barbourofelis
bassaricyon
bassaricyonoides
bassariscus
batavipusa
bathygale
bdeogale
belbus
bonisicyon
borophaginae
borophagus
bosdagius
brachyallodesmus
brachyopsigale
brachyprotoma
brachypsalis
brachyrhynchocyon
brevimalictis
broiliana
buisnictis
caedocyon
callorhinus
canidae
caniformia
caninae
canini
canis
canoidea
caracal
carnivora
carpocyon
catopuma
cephalogale
cerdocyon
cernictis
chailicyon
chamitaxus
chapalmalania
chaprongictis
chasmaporthetes
chrysocyon
circamustela
civettictis
conepatus
cormocyon
crassidia
craterogale
crocuta
crossarchus
cryptophoca
cryptoprocta
cubacyon
cuon
cynarctoides
cynarctus
cynelos
cynictis
cynodesmus
cynodictis
cynogale
cynotherium
cyonasua
cyrnaonyx
cyrnolutra
cystophora
daphoenictis
daphoenodon
daphoenus
delotrochanter
desmatophoca
desmatophocinae
desmocyon
devinophoca
diamantofelis
dinaelurus
dinictis
dinocrocuta
dinocyon
dinofelis
dinogale
djourabus
drassonax
drepanodon
dusicyon
dusignathinae
dusignathus
ectopocynus
edaphocyon
eira
eirictis
ekorus
enaliarctidae
enaliarctos
enhydra
enhydrictis
enhydriodon
enhydritherium
enhydrocyon
eofelis
eogale
eomellivora
eotaria
epicyon
epimachairodus
erignathus
erokomellivora
euboictis
eucyon
eumetopias
euoplocyon
eusmilus
felidae
feliformia
felinae
felis
ferinestrix
fortunictis
fossa
franconictis
gaillardina
galerella
galictis
galidia
