adianthus
adiantoides
amilnedwardsia
anisolambda
asmithwoodwardia
bounodus
brachytherium
coelosoma
coniopternium
cramauchenia
deuterotherium
diadiaphorus
eolicaphrium
ernestohaeckelia
guilielmofloweria
heteroglyphis
indalecia
josepholeidya
licaphrium
licaphrops
macrauchenia
megadolodus
miguelsoria
neobrachytherium
neolicaphrium
notiolofos
notolophus
notonychops
oxyodontherium
paranauchenia
paranisolambda
phoradiadius
picturotherium
polyacrodon
polymorphis
proadiantus
proheptaconus
prolicaphrium
promacrauchenia
proterotherium
protheosodon
prothoatherium
protolipterna
requisia
ricardolydekkeria
rutimeyeria
scalabrinitherium
sparnotheriodon
tetramerorhinus
thadanius
theosodon
thoatherium
tricoelodus
victorlemoinea
victorlemoineia
villarroelia
wainka
xenorhinotherium
xesmodon
