aenigmadelphys
albertatherium
alphadon
alphadontidae
apistodon
aquiladelphis
caluromyinae
caluromys
caluromysiops
chironectes
didelphidae
didelphimorphia
didelphinae
didelphis
didelphodon
didelphoidea
ectoconodon
eoalphadon
eodelphis
esteslestes
gaylordia
ghamidtherium
glasbius
gracilinanus
hyperdidelphys
incadelphys
iqualadelphis
lestodelphys
lutreolina
marmosa
marmosini
marmosops
metachirus
micoureus
mizquedelphys
monodelphis
paradidelphys
pariadens
periakros
philander
sairadelphys
seia
sparassocynidae
sparassocynus
stagodontidae
szalinia
thylamys
thylatheridium
thylophorops
tiulordia
turgidodon
varalphadon
xenodelphis
zygolestes
