acrodelphis
acrophyseter
aegyptocetus
aetiocetus
africanacetus
aglaocetus
agorophius
albertocetus
albicetus
albireo
allodelphis
ambulocetus
amphicetus
anacharsis
ancalecetus
andrewsiphius
anoplonassa
aporotus
aprixokogia
araeodelphis
archaebalaenoptera
archaeodelphis
archaeophocaena
archaeoziphius
archaeschrichtius
argyrocetus
arimidelphis
arktocara
artiocetus
ashleycetus
astadelphis
atocetus
atropatenocetus
attockicetus
aulophyseter
auroracetus
australithax
australodelphis
austrosqualodon
awadelphis
awamokoa
babiacetus
balaena
balaenella
balaenoptera
balaenotus
balaenula
basilosaurus
basiloterus
basilotritus
belemnoziphius
belonodelphis
beneziphius
berardius
bohaskaia
brabocetus
brachydelphis
brandtocetus
brygmophyseter
caperea
carolinacetus
caviziphius
cephalorhynchus
cephalotropis
ceterhinops
cetorhynchus
cetotheriopsis
cetotherium
chavinziphius
chilcacetus
chonecetus
choneziphius
chrysocetus
cophocetus
cotylocara
crenatocetus
cynthiacetus
cyrtodelphis
dagonodum
dalanistes
dalpiazina
delphinapterus
delphinavus
delphinodon
delphinus
denebola
dhedacetus
diaphorocetus
diorocetus
diunatans
dorudon
echovenator
eobalaenoptera
eocetus
eodelphinus
eomysticetus
eoplatanista
eosqualodon
eschrichtioides
eschrichtius
etruridelphis
eubalaena
eucetotherium
eudelphinus
eudelphis
eurhinodelphis
ferecetotherium
feresa
fragilicetus
fucaia
gandakasia
gaviacetus
georgiacetus
globicephala
globicephalus
globicetus
goedertius
goniodelphis
graamocetus
grampus
gricetoides
haborophocoena
hadrodelphis
halicetus
hemisyntrachelus
herentalia
herpetocetus
heterocetus
heterodelphis
hibacetus
himalayacetus
hoplocetus
horopeta
huaridelphis
hyperoodon
ichthyolestes
idiocetus
idiophyseter
idiorophus
ihlengesi
imerocetus
imerodelphis
imocetus
incacetus
incakujira
indocetus
indopacetus
inia
iniopsis
isanacetus
ischyrorhynchus
isocetus
izikoziphius
janjucetus
joumocetus
kampholophos
kekenodon
kentriodon
kharodacetus
khoikhoicetus
kogia
kogiopsis
kurdalagonus
kutchicetus
lagenodelphis
lagenorhynchus
lamprolithax
leptodelphis
leucopleurus
liolithax
lipotes
lissodelphis
livyatan
llanocetus
lomacetus
lophocetus
loxolithax
macrochirifer
macrodelphinus
macrokentriodon
maiacetus
makaracetus
mammalodon
masracetus
matapanui
mauicetus
medocinia
megaptera
meherrinia
mesocetus
mesoplodon
messapicetus
metasqualodon
metopocetus
microberardius
microcetus
micromysticetus
microphocaena
miocaperea
miodelphis
miophocaena
mirocetus
mithridatocetus
mixocetus
mizuhoptera
monodon
morawanocetus
morenocetus
mycteriacetus
nalacetus
nannocetus
nannolithax
nanokogia
natchitochia
nazcacetus
nenga
neophocaena
neosqualodon
ninjadelphis
ninoziphius
notiocetus
notocetus
notoziphius
numataphocoena
ocucajea
odobenocetops
oedolithax
oligodelphis
orca
orcaella
orcinus
orycterocetus
otekaikea
otradnocetus
pachyacanthus
pachyodon
pakicetus
palaeobalaena
palaeophocaena
papahu
pappocetus
parabalaenoptera
paracetus
parapontoporia
parietobalaena
patriocetus
pelocetus
peponocephala
peripolocetus
phoberodon
phocaenopsis
phocageneus
phococetus
phocoena
phocoenoides
physeter
physeterula
physodon
physotherium
pinocetus
piscobalaena
piscocetus
piscolithax
pithanodelphis
placoziphius
platalearostrum
platanista
platylithax
platyosphys
plesiobalaenoptera
plesiocetopsis
plesiocetus
pliopontos
pomatodelphis
pontistes
pontoporia
praekogia
praemegaptera
preaulophyseter
prepomatodelphis
priscodelphinus
prosqualodon
protocetus
protodelphinus
protoglobicephala
protophocaena
protororqualus
pseudorca
pterocetus
pterophocaena
qaisracetus
rayanistes
remingtonocetus
rodhocetus
rudicetus
sachalinocetus
saghacetus
salumiphocaena
sarmatodelphis
saurocetes
saurocetus
scaldicetus
scaphokogia
schizodelphis
semirostrum
septemtriocetus
septidelphis
simocetus
sinanodelphis
sitsqwayk
sophianacetus
sotalia
sousa
squalodelphis
squalodon
squaloziphius
stenasodelphis
stenella
steno
stromerius
sulakocetus
supayacetus
tagicetus
takracetus
tangaroasaurus
tasmacetus
thalassocetus
thinocetus
tiphyocetus
titanocetus
togocetus
tohoraata
tokarahia
tranatocetus
tursiops
tusciziphius
uranocetus
vampalus
vanbreenia
waharoa
waipatia
whakakai
xenorophus
xhosacetus
xiphiacetus
yamatocetus
zarhachis
zarhinocetus
zeuglodon
zignodelphis
ziphiodelphis
ziphirostrum
ziphius
zygiocetus
zygophyseter
zygorhiza
