adapisorex
adapisoricidae
adunator
aletodon
amphilemur
amphilemuridae
ankylodon
apheliscidae
apheliscus
berrulestes
chambius
cingulodon
colpocherus
crypholestes
dipavali
dorraletes
elephantulus
eotmantsoius
gesneropithex
gigarton
gingerichia
haplaletes
haplomylus
herodotius
khamsaconus
litocherus
litomylus
louisina
louisinidae
macrocranion
macroscelidea
macroscelides
macroscelididae
metoldobotes
miorhynchocyon
miosengi
monshyus
mylomygale
myohyrax
nementchatherium
neomatronella
palaeothentoides
patriolestes
phenacodaptes
prolouisina
proterixoides
protypotheroides
rhynchocyon
scenopagus
sespedectes
sespedectinae
thryptodon
utemylus
walbeckodon
zionodon
