abderites
abderitidae
acdestis
antawallathentes
bardalestes
caenolestidae
evolestes
hondathentes
palaeothentes
palaeothentidae
palaeothentinae
palaeothentoidea
parabderites
paucituberculata
perulestes
phonocdromus
pichipilidae
pichipilus
pilchenia
pitheculites
pliolestes
progarzonia
pseudhalmarhiphus
riolestes
sasawatsu
stilotherium
titanothentes
