achlyoscapter
amphechinus
anatolechinos
anomodon
archaeodesmana
auroralestes
batodonoides
brachyerix
cedrocherus
centetodon
condylura
dartonius
deinogalerix
desmana
desmanella
desmanodon
dibolia
dimylechinus
domninoides
entomolestes
eochenus
eogalericius
eotalpa
exallerix
gaillardia
galemys
galerix
geotrypus
hesperoscalops
hibbarderix
hugueneya
hylomys
ictopidium
lantanotherium
lanthanotherium
leipsanolestes
lemoynea
leptoscaptor
litolestes
marsholestes
metechinus
mioechinus
mongolopala
mongoloscapter
mygalea
mystipterus
myxomygale
neurogymnurus
neurotrichus
ocajila
oligochenus
oncocherus
oreotalpa
palaeoscaptor
palerinaceus
parascalops
parasorex
paratalpa
parvericius
postexallerix
postpalerinaceus
proscapanus
proterix
pseudoparatalpa
quadrodens
quyania
riddleria
scalopoides
scalopus
scapanoscapter
scapanulus
scapanus
scaptonyx
schizogalerix
scymnerix
silvacola
stenoechinus
stilpnodon
storchia
synexallerix
talpa
tenuibrachiatum
tetracus
thaiagymnura
tupaiodon
untermannerix
uropsilus
urotrichus
yanshuella
yunoscaptor
zaraalestes
