ageina
ancenycteris
antrozous
anzanycteris
archaeonycteris
archaeopteropus
archerops
artibeus
asellia
aselliscus
australonycteris
balantiopteryx
barbastella
brachipposideros
brachyphylla
brevipalatus
cambaya
carollia
cecilionycteris
chadronycteris
chamtwaria
chibanycteris
chiroptera
chrotopterus
cubanycteris
cuvierimops
cynopterus
desmodus
dhofarella
diclidurus
dizzya
eidolon
emballonura
emballonuridae
eochiroptera
eonycteris
eppsinycteris
eptesicus
eumops
glossophaga
glossophaginae
hanakia
hassianycteris
hesperoptenus
hipposideridae
hipposideros
histiotus
honrovits
hydromops
ia
icaronycteris
jaegeria
karstala
kerivoula
khonsunycteris
kiotomops
lasionycteris
lasiurus
leptonycteris
lonchophylla
lophostoma
macroderma
macrotus
matthesia
megaderma
megadermatidae
microchiroptera
microchiropteryx
micronycteris
miniopterus
miomegaderma
miomyotis
miostrellus
molossidae
molossops
molossus
mops
mormoopidae
mormoops
mormopterus
murina
myotis
mystacina
mystacinidae
natalidae
natalus
necromantis
noctilio
notonycteris
nyctalus
nycteridae
nycterididae
nycteris
nycticeius
nyctinomus
nyctophilus
oligomyotis
onychonycteris
otomops
otonycteris
palaenycteris
palaeochiropterygidae
palaeochiropteryx
palaeophyllophora
paleptesicus
palynephyllum
paratriaenops
philisis
phyllops
phyllostomatidae
phyllostomidae
phyllostominae
phyllostomus
pipistrellus
plecotus
plionycteris
potamonycteris
potamops
primonatalus
propotto
protonycteris
pseudorhinolophus
pteropidae
pteropus
qarunycteris
rhinolophidae
rhinolophoidea
rhinolophus
rhinonycteris
rhizomops
rhogeessa
rhynchonycteris
riversleigha
rousettus
saharaderma
scotomanes
scotophilus
shanwangia
stehlinia
sturnira
suaptenos
submyotodon
tachypteron
tadarida
tanzanycteris
taphozous
thyroptera
tonatia
trachops
triaenops
tylonycteris
vampyravus
vaylatsia
vespertiliavus
vespertilio
vespertilionidae
vespertilionoidea
wallia
witwatia
xenorhinos
