andrewsarchus
ankalagon
dissacus
eoconodon
goniacodon
guilestes
hapalodectes
hapalorestes
harpagolestes
hessolestes
honanodon
hukoutherium
lestes
mesonyx
microclaenodon
mondegodon
mongolestes
mongolonyx
olsenia
oxyclaenus
pachyaena
simidectes
sinonyx
stelocyon
triisodon
wyolestes
