alcidedorbignya
altilambda
archaeolambda
asiocoryphodon
barylambda
bemalambda
caenolambda
convallisodon
coryphodon
cyriacotherium
dilambda
eudinoceras
guichilambda
haplolambda
huananius
hypercoryphodon
leptolambda
nanlingilambda
pantolambda
pantolambdodon
pastoralodon
presbytherium
titanoides
