acrocyon
acyon
andinogale
angelocabrerus
arctodictis
argyrolestes
arminiheringia
australohyaena
borhyaena
borhyaenidium
callistoe
chasicostylus
cladosictis
contrerascynus
fredszalaya
hondadelphys
lycopsis
nemolestes
notictis
notocynus
notogale
paraborhyaena
patagosmilus
patene
perathereutes
pharsophorus
plesiofelis
proborhyaena
procladosictis
prothylacynus
protoproviverra
pseudolycopsis
pseudonotictis
pseudothylacynus
sallacyon
sipalocyon
stylocynus
thylacosmilus
