absarokius
acidomomys
acrecebus
adapis
adapoides
aegyptopithecus
afradapis
aframonius
afrasia
afropithecus
afrotarsius
ageitodendron
agerinia
algeripithecus
alouatta
altanius
altiatlasius
alveojunctus
amamria
anapithecus
anaptomorphus
anasazia
anchomomys
anemorhysis
ankarapithecus
anoiapithecus
anomalopithecus
aotus
apidium
arapahovius
archaeolemur
archicebus
arcius
arctodontomys
ardipithecus
arsinoea
artimonius
asiadapis
asiomomys
asioplesiadapis
ateles
australopithecus
avahi
avenius
aycrossia
azibius
baataromomys
bahinia
barberapithecus
berruvius
biretia
branisella
bugtilemur
bugtipithecus
callimico
callithrix
canaanimico
cantius
carlocebus
carpocristes
carpodaptes
carpolestes
catopithecus
cebupithecia
cebus
cercamonius
cercocebus
cercopithecoides
cercopithecus
chalicomomys
cheirogaleus
chilecebus
chipetaia
chiromyoides
chlorocebus
chlororhysis
choctawius
chororapithecus
chronolestes
chumashius
colobus
copelemur
craseops
cynocephalus
darwinius
daubentonia
dendropithecus
diablomomys
dillerlemur
dinopithecus
dionysopithecus
djebelemur
dolichocebus
dolichopithecus
donrussellia
draconodus
dralestes
dryomomys
dryopithecus
dyseolemur
edworthia
ekgmowechashala
elphidotarsius
elwynella
eosimias
equatorius
eulemur
europolemur
galago
galagoides
ganlea
gatanthropus
gazinius
gigantopithecus
gorgopithecus
graecopithecus
griphopithecus
guangxilemur
hadropithecus
hemiacodon
hesperotarsius
hispanopithecus
hoanghonius
homo
homunculus
hylobates
ignacius
indraloris
indusomys
insulacebus
jattadectes
jemezius
kalepithecus
kamoyapithecus
kamoyopithecus
kansupithecus
karanisia
kenyapithecus
khoratpithecus
kogolepithecus
kohatius
komba
krabia
kuseracolobus
kyitchaungia
laccopithecus
lagonimico
lagothrix
langsonia
laomaki
lemur
leontopithecus
lepilemur
leptadapis
libypithecus
limnopithecus
lokonepithecus
lomorupithecus
lophocebus
loveina
lufengpithecus
lushius
mabokopithecus
macaca
macacus
macrotarsius
mahgarita
marcgodinotius
mazateronodon
mazzonicebus
megadelphus
megaladapis
melaneremia
mescalerolemur
mesopithecus
micodon
microadapis
microcebus
microchoerus
microcolobus
micromomys
micropithecus
microsyops
miocallicebus
mioeuoticus
moeripithecus
morotopithecus
muangthanhinius
myanmarpithecus
nacholapithecus
nakalipithecus
namaloris
nannodectes
nannopithex
nanomomys
navajovius
necrolemur
neosaimiri
nievesia
niptomomys
nomascus
noropithecus
nosmips
notharctus
notnamaia
nsungwepithecus
nuciruptor
nyanzapithecus
nycticebus
oligopithecus
oligotarsius
omanodon
omomys
oreopithecus
orrorin
otavipithecus
ouranopithecus
ourayia
pachylemur
palaechthon
palaeopropithecus
palenochtha
panamacebus
pandemonium
panobius
papio
paracolobus
paradolichopithecus
paraloris
paralouatta
paranthropus
parapapio
parapithecus
parapresbytis
paromomys
parvocristes
patasola
paukkaungia
pelycodus
periconodon
perupithecus
phenacolemur
phenacopithecus
phileosimias
phoxomylus
picrodus
picromomys
pierolapithecus
platodontopithecus
platychoerops
plesiadapis
plesiolestes
plesiopithecus
plesiopliopithecus
pliopapio
pliopithecus
pondaungia
pongo
praeanthropus
premnoides
presbytis
proconsul
procynocephalus
progalago
prohylobates
pronothodectes
propithecia
propithecus
propliopithecus
proteopithecus
protopithecus
pseudoloris
pseudotetonius
pulverflumen
purgatorius
pygathrix
qatrania
rangwapithecus
rencunius
rhinocolobus
rhinopithecus
rooneyia
rukwapithecus
russellodon
saadanius
saguinus
saharagalago
sahelanthropus
saimiri
samburupithecus
sarnacius
saxonella
semnopithecus
serapia
shoshonius
siamoadapis
siamopithecus
simia
simiolus
simonsius
simopithecus
simpsonlemur
sinoadapis
sivaladapis
sivapithecus
smilodectes
solimoea
soriacebus
sphacorhysis
steinius
stirtonia
stockia
strigorhysis
subengius
sulaimanius
symphalangus
szechuanopithecus
tabelia
talahpithecus
tarka
tarkops
tarsius
tatmanius
teilhardina
tetonius
tetonoides
theropithecus
tinimomys
toliapina
torrejonia
trachypithecus
tremacebus
trogolemur
turkanapithecus
udabnopithecus
ugandapithecus
uintanius
uintasorex
ursolestes
utahia
vastanomys
victoriapithecus
wadilemur
wailekia
washakius
wyomomys
xanthorhysis
xenopithecus
yaquius
yunnanadapis
zanycteris
