taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	
Eozapus setchuanus													EU839420	EU839444	
Jaculus orientalis										JN214562			JN652642		
Zapus princeps									AY294935		AY303197	AY303216	DQ665221	AF297287	
Sicista kazbegica		AJ275514	AJ275515	AJ275516						AJ297764				FM200058	
Allactodipus bobrinskii	JF938823				JF938721	JF938747	JF938800					JF938899			
Cardiocranius paradoxus	JF938834				JF938732	JF938758	JF938811					JF938911			
Pygeretmus pumilio	JF938820				JF938718	JF938744	JF938797					JF938896			
Jaculus blanfordi	JF938828				JF938726	JF938752	JF938805					JF938904			
Allactaga major	JF938819				JF938717	JF938743	JF938796					JF938895			
Pan paniscus	HM763123							AY276083	HM759078		HM763236	HM758906			
Pan troglodytes	HM763125							AY276623	HM759079		HM763238	HM758908			
Salpingotus kozlovi	JF938831				JF938729	JF938755	JF938808					JF938907			
Eremodipus lichtensteini	JF938821				JF938719	JF938745	JF938798					JF938897			
Stylodipus telum	JF938825				JF938723	JF938749	JF938802					JF938901			
Euchoreutes naso	JF938826				JF938724	JF938750	JF938803					JF938902	HQ585970		
Allactaga hotsoni	JF938830				JF938728	JF938754	JF938807					JF938906			
Sicista tianshanica	JF938815				JF938713	JF938739	JF938792				AY303192	JF938891		AF297288	
Zapus hudsonius	JF938816				JF938714	JF938740	JF938793					JF938892	DQ664918		
Napaeozapus insignis	JF938817	AJ275524	AJ275525	AJ275526	JF938715	JF938741	JF938794					JF938893	AJ389535	AY326098	
Dipus sagitta	JF938822	AJ275529	AJ275530	AJ275531	JF938720	JF938746	JF938799			AJ224665	AY303184	AY303203	HQ585978	AF297285	
Jaculus jaculus	JF938827	AJ275534	AJ275535	AJ275536	JF938725	JF938751	JF938804		JN633631	JN214553	FM162121	JF938903	JX885195	AM407907	
