taxon	BRCA1	Rag1	interphotoreceptor-retinoid-binding-protein	vWF	ENAM	ApoB	
Pseudochirops corinnae	GU199280	GU199314	GU199308	GU199320	GU199295	GU199274	
Pseudochirops archeri	FJ624002	FJ624045	FJ624021	AY243409	GU199294	AY243425	
Petropseudes dahli	FJ624000	FJ624042	FJ624018	FJ624066	GU199291		
Pseudochirops albertisii	GU199279	GU199313	GU199307	GU199319	GU199293	GU199273	
Pseudochirops cupreus	FJ603123	AY243392	AF025387	FJ603135		FJ603114	
