taxon	12S-ribosomal-RNA	cytochrome-b	tRNA-Val	IRBP	
Planigale gilesi	AF001943	U07589	JQ413972	JQ687059	
Planigale maculata	AF271678,AF271686,AF271688,AF271687	U10318,U07590	JQ413970	JQ687058	
Planigale tenuirostris	AF001944,AF271683,AF271684	U07591			
Planigale novaeguineae	AF271675,AF271674	U10320			
Planigale ingrami	AF271689,AF001942,AF271690	U10319	JQ413971,EF011644	EF028749	
