taxon	marker	marker.1	marker.2	marker.3	marker.4	
Hyemoschus aquaticus			FJ807600			
Moschiola indica			JN861029		JN714150	
Moschiola meminna			FJ190156	JX570670	EF554688	
Hexaprotodon liberiensis	GQ487616	GQ487609	Y08814		AF107222	
Tragulus javanicus	GQ487614	GQ487603	D32189	AY121991		
Tragulus napu	JN633370	JN633734	AB122112	M55539		
Hippopotamus amphibius	AY011488	AY011425	Y08813		AF107223	
