taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	
Eospalax fontanierii	AF326245	AF326264															
Rhizomys sinensis	AF326254	AF326274															
Rhizomys pruinosus	AJ250358					AY294899			JF444433					AY326107			
Myospalax psilurus	AF326250	AF326270							JF444254							GU066799	
Myospalax aspalax	AF326252	AF326272				GQ272599								AY326097			
Tachyoryctes splendens		AF160602				AY294900								AY326112		GU066800	
Eospalax baileyi	EF521968	EF522070								JX998170		DQ229099			EF570430		
Spalax microphthalmus	HQ652127		HQ652260	HQ652305				HQ652172								AF298891	
Nannospalax nehringi	HQ652143	JX451855	HQ652267	HQ652312				HQ652187									
Pan paniscus					AY276085		HM763236	AB065143			AY318834		HM763828				
Pan troglodytes					AY276623		HM763238	AB062547			AY318831		AF535050				
Spalax carmeli	HQ652144		HQ652276	HQ652320				HQ652188					HQ014866		AJ440444		
Nannospalax galili	HQ652110		HQ652255	HQ652299				HQ652153							AJ440425		
