taxon	mtDNA-control-region	FGG	G6PD	RAG1	PRM1	BTN	
Eubalaena glacialis	X72199,AF275353,AY821863	AY196814	AY196816	GQ368546	GQ368527	EF043293	
Eubalaena japonica	JX441362,JX441358,JX441356	EF043313	EF043321	EU445025	EU444939		
Eubalaena australis	GQ389688,AF275359,AF275358	GQ407450,GQ407438,GQ407446	GQ407336,GQ407339	GQ368545,JN414897	GQ368526		
