time	diversity	m_div	M_div	median_genus_age	m_age	M_age	turnover	m_turnover	M_turnover	life_exp	m_life_exp	M_life_exp	
26	0.0	0	0	NA	NA	NA	1.0	1	1	NA	NA	NA
25	1.0	1	1	0.0384323987021	0.0384323987021	0.0384323987021	1.0	1.0	1.0	18.32235666	18.32235666	18.32235666
24	5.0	5	5	0.0732792006238	0.0732792006238	0.0732792006238	0.8	0.8	0.8	18.4657868379	18.4657868379	18.4657868379
23	9.0	9	9	1.01729751944	1.01729751944	1.01729751944	0.444444444444	0.444444444444	0.444444444444	18.1030377444	18.1030377444	18.1030377444
22	15.0	15	15	1.42008495592	1.42008495592	1.42008495592	0.4	0.4	0.4	16.4657868379	16.4657868379	16.4657868379
21	25.0	25	25	1.78392386423	1.78392386423	1.78392386423	0.4	0.4	0.4	13.0684992232	13.0684992232	13.0684992232
20	35.0	35	35	1.78741315456	1.78741315456	1.78741315456	0.285714285714	0.285714285714	0.285714285714	9.59105078036	9.59105078036	9.59105078036
19	38.0	38	38	2.54393825537	2.54393825537	2.54393825537	0.0789473684211	0.0789473684211	0.0789473684211	7.24926984618	7.24926984618	7.24926984618
18	43.0	43	43	3.26269080802	3.26269080802	3.26269080802	0.162790697674	0.162790697674	0.162790697674	6.14257440742	6.14257440742	6.14257440742
17	46.0	46	46	4.25474152399	4.25474152399	4.25474152399	0.108695652174	0.108695652174	0.108695652174	5.97350803265	5.97350803265	5.97350803265
16	45.0	45	45	5.26037636457	5.26037636457	5.26037636457	0.0666666666667	0.0666666666667	0.0666666666667	8.06849922322	8.06849922322	8.06849922322
15	46.0	46	46	6.22337239075	6.22337239075	6.22337239075	0.108695652174	0.108695652174	0.108695652174	7.50353165231	7.50353165231	7.50353165231
14	47.0	47	47	6.91675956383	6.91675956383	6.91675956383	0.063829787234	0.063829787234	0.063829787234	6.06849922322	6.06849922322	6.06849922322
13	45.0	45	45	7.8392818446	7.8392818446	7.8392818446	0.0444444444444	0.0444444444444	0.0444444444444	5.93856408141	5.93856408141	5.93856408141
12	44.0	44	44	8.87802070422	8.87802070422	8.87802070422	0.0227272727273	0.0227272727273	0.0227272727273	5.04869741674	5.04869741674	5.04869741674
11	33.0	33	33	10.262690808	10.262690808	10.262690808	0.030303030303	0.030303030303	0.030303030303	5.46578683792	5.46578683792	5.46578683792
10	31.0	31	31	11.2491066834	11.2491066834	11.2491066834	0.0322580645161	0.0322580645161	0.0322580645161	5.10303774437	5.10303774437	5.10303774437
9	31.0	31	31	11.3369154503	11.3369154503	11.3369154503	0.0645161290323	0.0645161290323	0.0645161290323	4.10303774437	4.10303774437	4.10303774437
8	31.0	31	31	12.3369154503	12.3369154503	12.3369154503	0.0645161290323	0.0645161290323	0.0645161290323	3.2155455185	3.2155455185	3.2155455185
7	29.0	29	29	13.3369154503	13.3369154503	13.3369154503	0.0344827586207	0.0344827586207	0.0344827586207	2.29582885751	2.29582885751	2.29582885751
6	29.0	29	29	12.2683595315	12.2683595315	12.2683595315	0.0689655172414	0.0689655172414	0.0689655172414	1.91079828531	1.91079828531	1.91079828531
5	30.0	30	30	12.456770295	12.456770295	12.456770295	0.166666666667	0.166666666667	0.166666666667	2.52364996205	2.52364996205	2.52364996205
4	32.0	32	32	5.08231964492	5.08231964492	5.08231964492	0.28125	0.28125	0.28125	2.11266024543	2.11266024543	2.11266024543
3	33.0	33	33	2.29180298225	2.29180298225	2.29180298225	0.242424242424	0.242424242424	0.242424242424	2.30947238357	2.30947238357	2.30947238357
2	41.0	41	41	2.02590479086	2.02590479086	2.02590479086	0.292682926829	0.292682926829	0.292682926829	1.97340748377	1.97340748377	1.97340748377
1	40.0	40	40	2.61252819481	2.61252819481	2.61252819481	0.2	0.2	0.2	0.998184573926	0.998184573926	0.998184573926
0	42.0	42	42	2.58928042901	2.58928042901	2.58928042901	0.190476190476	0.190476190476	0.190476190476	0.0865073579584	0.0865073579584	0.0865073579584
