taxon	cytochrome-b	control-region;-domain-I	12S-ribosomal-RNA	protamine-P1	IRBP	trnV	beta-fibrinogen	
Antechinus bellus	AF038287	EF032331	AF038308	AF038295	EF028738	EF011633	EF025046	
Antechinus minimus	AF038286	EF032332	AF038307	AF038294	EF028739	EF011634	EF025047	
Antechinus naso	U23461		AF038314	AF038301				
Antechinus flavipes	U22422,AF512016,AF512018	HM626721,AY026087,AY026086	AF038306	AF038293	EF028737	EF011632	EF025045	
Antechinus stuartii	M99454,AF038285,DQ842138	AY026080,AY026082,AY026083	U87399,AF038305	AF038292,L35335	EF028736	EF011631	EF025044	
Antechinus leo	AF038289	EF032333	AF038310	AF038297	EF028740	EF011635	EF025048	
Antechinus godmani	AF038288	EF032334	AF038309	AF038296	EF028741	EF011636	EF025049	
Antechinus swainsonii	M99453,AF038284	EF032330	AF038304,U87398	L35338,AF038291	AY532666	AY528904	AY531236	
Antechinus agilis	DQ842128,DQ842125,DQ842126	EF032335			EF028742	EF011637	EF025050	
