taxon	unknown	cytb	ND2	BRCA1	omega-globin	COI	SRY	Rag1	APOB	interphotoreceptor-retinoid-binding-protein	
Petrogale brachyotis	JQ622950,JQ622985,HM136901	JQ042121,JQ042122,JQ042120	JQ623158,JQ623170,JQ623185	JQ623269,JQ623268,JQ623267	JQ623460,JQ623350,JQ623351	JQ042167,JQ042166,JQ042168	U76511				
Dendrolagus goodfellowi	DQ009909,DQ009908,DQ009903	JQ042137,FJ937814	JQ042160		JQ042229	JQ042183		FJ603225	AY243422,FJ603140	AY243435	
Dendrolagus matschiei	FJ937823,DQ009889,DQ009894	AY226575,FJ937809,FJ937803									
Petrogale lateralis	AF348694	JQ042129,JQ042130	JQ042153,JQ042152	JQ042199,JQ042198,GU566716	JQ042221,JQ042222	JQ042176,JQ042175		GU566722	GU566713	GU566719	
Dendrolagus bennettianus	AY040879,AY040880	AY226564									
Petrogale purpureicollis	AY057376,AY057377,AY057374	JQ042133	JQ042156	JQ042202	JQ042225	JQ042179					
Dendrolagus dorianus	DQ009916,DQ009912,DQ009915	JN003380,FJ937817,FJ937816	JN003379					FJ603222	FJ603146	FJ603198	
Petrogale burbidgei	JQ623022,JQ623015,JQ623016	JQ042123	JQ623257,JQ623256,JQ623264	JQ042192,JQ623345	JQ623475,JQ623479,JQ623477	JQ042169	U76510				
Petrogale penicillata	EU887006,AF357278,AF348699	JQ042125	JQ623265,JQ042148	JQ042194	JQ042217	JQ042171	U76518				
Petrogale concinna	HM136902	JQ042124	JQ042147	JQ623336,JQ623337,JQ042193	JQ623471,JQ042216	JQ042170		FJ603243	FJ603161	FJ603215	
Petrogale persephone	AF481957,AF481953,AF481954	JQ042132	JQ042155	JQ042201	JQ042224	JQ042178					
Dendrolagus lumholtzi	AY040881,AY040882,AY040883	JQ042138,AY226565,AY226567	JQ042161		JQ042230	JQ042184					
Petrogale herberti	AY040892,AF357284	JQ042131	JQ042154	JQ042200	JQ042223	JQ042177	U76519				
Petrogale inornata		JQ042126	JQ042149	JQ042195	JQ042218	JQ042172	U76520				
Petrogale rothschildi		JQ042134	JQ042157	JQ042203	JQ042226	JQ042180					
Dendrolagus spadix		AY226572									
Petrogale mareeba		EF368033					U76513				
Dendrolagus inustus		FJ937821						AY243388			
Petrogale assimilis		JQ042119	JQ042142	JQ042188	JQ042211	JQ042165	U76515				
Petrogale xanthopus			JN003382	FJ603190				FJ603244	FJ603162	FJ603216	
Petrogale coenensis							U76514				
Petrogale sharmani							U76521				
Petrogale godmani							U76522				
