taxon	cyt-b	IRBP	RAG1	COX2	NAD2	16S-ribosomal-RNA	COI	BRCA1	unknown	VWF	beta-fibrinogen	unknown.1	tRNA-Val	DMP1	RAG-1	
Caluromysiops irrupta		AF257675														
Marmosa xerophila	HM106347															
Caluromys derbianus	JF489138															
Micoureus constantiae	HM106369								JQ478420							
Philander andersoni	JQ388603						EU095477									
Monodelphis glirina	HM998559					HQ454254										
Lestodelphys halli	HM583365	AF257710												DQ083133		
Thylamys sponsorius	HM583436			HM583520	HM583554											
Monodelphis kunsi	HM998584	GQ119621				HQ454277									AY125042	
Hyladelphys kalinowskii		DQ112325	DQ865923					FJ159291		FJ159341				DQ112326		
Tlacuatzin canescens	HM106340	AY233767	DQ865922					FJ159321		FJ159370				DQ083160		
Gracilinanus emiliae	HM583367	AY957486	DQ865894					FJ159289		FJ159339				DQ083131		
Cryptonanus chacoensis	GQ911596	AY957494	DQ865886					FJ159281		FJ159331				DQ083123		
Cryptonanus unduaviensis	HM583366	AY957492	DQ865887					FJ159282		FJ159332				DQ083124		
Dasyurus hallucatus	M99460	AY532679									AY531249	JQ979248	AY528917			
Philander frenatus	GU112939	AY233786	DQ865915				GU112856	FJ159312		FJ159362				DQ083153		
Gracilinanus microtarsus	AJ628369	AF257687	DQ865895				GU112802	FJ159290		FJ159340				DQ083132		
Thylamys pallidior	HM583390	AF257689	DQ865919	HM583514	HM583550			FJ159318		FJ159367				DQ083157		
Chironectes minimus	AJ628363	AF257679	DQ865885				JF457701	FJ159280		FJ159330				DQ083122		
Marmosops pinheiroi	AJ606431		DQ865906				JF457808	FJ159302		FJ159352				DQ083144		
Micoureus demerarae	HM106375	AF257691	DQ865908				GU112829	FJ159304	JQ478419	FJ159354				EU327796		
Marmosa murina	HM106394	AF257705	DQ865899				GU112807	FJ159295	AJ487101	FJ159345				DQ083137		
Marmosops noctivagus	AJ606421	AF257700	DQ865904				EU095431	FJ159300		FJ159350				DQ083142		
Lutreolina crassicaudata	AJ628364	AF257684	DQ865896					FJ159292		FJ159342				DQ083134		
Didelphis albiventris	U34667	AF257682	DQ865888				JN638972	FJ159283	AF089801	FJ159333				DQ083125	AY125027	
Metachirus nudicaudatus	U34671	AF257701	DQ865907				HQ919678	FJ159303		FJ159353				DQ083145		
Dasyurus albopunctatus	U07580	AY532681	JN414883					AY243452		AY243414	AY531251	AF157095	AF166349	JN414400	JN633585	
Glironia venusta	U34666	AF257688	DQ865891					FJ159286		FJ159336				DQ083128	JN633569	
Caluromys philander	AJ628362	AY233765	DQ865884				GU112788	FJ159279		FJ159329				DQ083121	JN633568	
Didelphis virginiana	HM222715	Z11814	DQ865890				HQ451898	AF497261		JN415020				DQ083127	AF303969	
