time	diversity	m_div	M_div	median_genus_age	m_age	M_age	turnover	m_turnover	M_turnover	life_exp	m_life_exp	M_life_exp	
22	0.0	0	0	NA	NA	NA	1.0	1	1	NA	NA	NA
21	1.0	1	1	0.713453924712	0.713453924712	0.713453924712	1.0	1.0	1.0	20.3301904665	20.3301904665	20.3301904665
20	2.0	2	2	0.976623455341	0.976623455341	0.976623455341	0.5	0.5	0.5	14.9122512089	14.9122512089	14.9122512089
19	3.0	3	3	1.23979298597	1.23979298597	1.23979298597	0.333333333333	0.333333333333	0.333333333333	10.6614575077	10.6614575077	10.6614575077
18	4.0	4	4	1.88301423978	1.88301423978	1.88301423978	0.25	0.25	0.25	9.07788472953	9.07788472953	9.07788472953
17	6.0	6	6	1.88904169084	1.88904169084	1.88904169084	0.333333333333	0.333333333333	0.333333333333	9.41183650177	9.41183650177	9.41183650177
16	9.0	9	9	1.21231947965	1.21231947965	1.21231947965	0.444444444444	0.444444444444	0.444444444444	9.16589644303	9.16589644303	9.16589644303
15	13.0	13	13	1.50228297878	1.50228297878	1.50228297878	0.307692307692	0.307692307692	0.307692307692	8.16589644303	8.16589644303	8.16589644303
14	17.0	17	17	2.04307113596	2.04307113596	2.04307113596	0.235294117647	0.235294117647	0.235294117647	7.16221549582	7.16221549582	7.16221549582
13	21.0	21	21	2.66502095119	2.66502095119	2.66502095119	0.238095238095	0.238095238095	0.238095238095	6.16221549582	6.16221549582	6.16221549582
12	27.0	27	27	2.56173596009	2.56173596009	2.56173596009	0.259259259259	0.259259259259	0.259259259259	4.3397723498	4.3397723498	4.3397723498
11	27.0	27	27	3.56173596009	3.56173596009	3.56173596009	0.0740740740741	0.0740740740741	0.0740740740741	4.16221549582	4.16221549582	4.16221549582
10	23.0	23	23	5.03346427814	5.03346427814	5.03346427814	0.0869565217391	0.0869565217391	0.0869565217391	5.26595218019	5.26595218019	5.26595218019
9	22.0	22	22	6.34924261467	6.34924261467	6.34924261467	0.0454545454545	0.0454545454545	0.0454545454545	4.35025811231	4.35025811231	4.35025811231
8	22.0	22	22	6.01536724802	6.01536724802	6.01536724802	0.136363636364	0.136363636364	0.136363636364	3.68601607752	3.68601607752	3.68601607752
7	23.0	23	23	6.13339198552	6.13339198552	6.13339198552	0.130434782609	0.130434782609	0.130434782609	2.43456404444	2.43456404444	2.43456404444
6	20.0	20	20	7.52262268441	7.52262268441	7.52262268441	0.05	0.05	0.05	2.09207762423	2.09207762423	2.09207762423
5	18.0	18	18	8.04460021921	8.04460021921	8.04460021921	0.111111111111	0.111111111111	0.111111111111	1.73191449655	1.73191449655	1.73191449655
4	18.0	18	18	8.23013887801	8.23013887801	8.23013887801	0.111111111111	0.111111111111	0.111111111111	1.233332426	1.233332426	1.233332426
3	17.0	17	17	8.25908590698	8.25908590698	8.25908590698	0.235294117647	0.235294117647	0.235294117647	2.08374634665	2.08374634665	2.08374634665
2	16.0	16	16	4.92717523376	4.92717523376	4.92717523376	0.125	0.125	0.125	1.22227740299	1.22227740299	1.22227740299
1	18.0	18	18	2.53520058119	2.53520058119	2.53520058119	0.222222222222	0.222222222222	0.222222222222	1.34541498144	1.34541498144	1.34541498144
0	23.0	23	23	1.77144911077	1.77144911077	1.77144911077	0.391304347826	0.391304347826	0.391304347826	2.2017945161	2.2017945161	2.2017945161
