clade	species	ts	te
0.0	2.0	11.201073168398846	10.506011628543645
0.0	3.0	14.988854667189845	13.941393044526828
0.0	4.0	16.702342892532027	15.965456192871741
0.0	5.0	17.066523415050245	16.316261476353567
0.0	6.0	14.238745649374897	9.2683705354595229
0.0	7.0	4.5804064271099811	4.0174944920800018
0.0	8.0	0.16123366829871719	0.0
0.0	9.0	2.4073877398032799	1.8528824936146897
0.0	10.0	15.883501218136901	9.2073925528003535
0.0	11.0	0.68806953026270157	0.0
0.0	12.0	17.683329801586613	16.969745647372868
0.0	13.0	5.0966793506977179	0.0
0.0	14.0	8.9947648355401135	3.6292236343536133
0.0	15.0	20.275830336247424	4.6315614850715701
0.0	16.0	22.280006306164186	20.700659731695744
0.0	17.0	0.40473438685081714	0.0
0.0	18.0	5.5388239044574235	0.16821433479963388
0.0	19.0	1.5282368680225764	0.24111419927497185
0.0	20.0	10.838394718777828	10.131649122675025
0.0	21.0	2.3431628600658123	0.0
0.0	22.0	3.7985067127922383	1.0814184533111857
0.0	23.0	2.9140832015876703	0.0
0.0	24.0	2.1360345887880441	0.0021507073904788641
0.0	25.0	1.4368125315500861	0.98097197195478136
0.0	26.0	2.317959809668376	0.0058488438785120975
0.0	27.0	3.0200326505215407	1.9179131439109276
0.0	28.0	4.2702371537901032	3.7160463388149165
0.0	29.0	1.9663474482391445	0.0
0.0	30.0	1.8079434164229993	0.0
0.0	31.0	18.085918899315143	6.5197602233696035
0.0	32.0	17.212870345636127	15.515167505361006
0.0	33.0	2.3912090399005455	1.8541187097731153
0.0	34.0	0.3989538485367376	0.0
0.0	35.0	1.8731243559951809	0.0
0.0	36.0	7.1426949092985987	6.5278098269354548
0.0	37.0	1.1211401233181599	0.0
0.0	38.0	8.2220899725750343	7.5570023081009854
0.0	39.0	3.4808527988261311	0.0
0.0	40.0	0.40875037973505912	0.0
0.0	41.0	10.903922427910139	8.2998785880727457
0.0	42.0	20.389667654134954	12.367585148070757
0.0	43.0	22.61774740028385	22.005688001688505
0.0	44.0	16.377536725264935	12.392765190951122
0.0	45.0	15.608155989354151	14.212399181302361
0.0	46.0	15.095891090547077	14.313413760772821
0.0	47.0	4.8246364271337123	4.2957851686326487
0.0	48.0	4.3320149578799425	2.9430018396060049
0.0	49.0	18.81489282248225	13.076061327043977
0.0	50.0	12.114391681597455	11.379167072511709
0.0	51.0	21.925157575174648	13.737021493919496
0.0	52.0	0.41844313066315353	0.0
0.0	53.0	0.40402580996984583	0.0
0.0	54.0	10.67828515367143	6.2564224740633341
0.0	55.0	0.37203623143761033	0.0
0.0	56.0	19.93788682812848	19.281464153247111
0.0	57.0	5.960276813129318	1.449841425061221
0.0	58.0	10.131760096865492	9.3971250369772861
0.0	59.0	10.628007744034466	6.377676894543935
0.0	60.0	19.104619140468145	1.7771701840761327
0.0	61.0	23.926635240862133	19.243783822663449
0.0	62.0	17.721241590628825	12.906378378938079
0.0	63.0	5.3469217871846002	4.8262900741315153
0.0	64.0	10.505378553251376	7.2682032744700029
0.0	65.0	8.4379486834504629	7.7639266116284364
0.0	66.0	0.4553193792620665	0.19977225484919023
0.0	67.0	19.497074463080178	8.7997497222231864
0.0	68.0	15.179863107948231	9.8313465847546837
0.0	69.0	18.180028470563929	13.282391694536043
0.0	70.0	20.051058434146498	19.397930968539011
0.0	71.0	16.411037861565188	7.1871094448423625
0.0	72.0	5.1352478748954091	4.608960987636892
0.0	73.0	20.782903197824975	17.513295295861688
0.0	74.0	21.97187034296563	9.0431075349908827
0.0	75.0	16.404853234911947	13.31680639493687
0.0	76.0	18.710796335502582	7.803227309045198
0.0	77.0	12.676553162646911	11.976802110026368
0.0	78.0	17.215789259265435	16.485265669674622
0.0	79.0	2.4562702245662247	0.0
0.0	80.0	2.5084537984548914	0.0
0.0	81.0	0.37808805102643872	0.0
0.0	82.0	5.0254304035566584	0.0
0.0	83.0	22.066393885060133	21.476970200587218
0.0	84.0	0.48017012036056855	0.0
0.0	85.0	11.723559113546695	11.012324730871747
0.0	86.0	2.8036988344379359	0.0
0.0	87.0	17.885620480463835	13.617249140313987
0.0	88.0	21.45750347798344	5.1939628190478393
0.0	89.0	5.6664425520727404	5.1548422708466015
0.0	90.0	14.989034215879162	5.6716366191831611
0.0	91.0	0.19551660485648273	0.0
0.0	92.0	2.4188298222707032	0.0
0.0	93.0	5.3867729065806369	1.2059030616323425
0.0	94.0	0.34570030843781341	0.0
0.0	95.0	3.3688407586933602	2.8161101274336517
0.0	96.0	13.786038377768104	10.513096098212198
0.0	97.0	21.68659557581492	8.200587863005719
0.0	98.0	2.2948172096272486	0.0
0.0	99.0	3.5688083375363053	3.0032447365612991
0.0	100.0	2.2332497956830637	0.0
0.0	101.0	6.1658183302753482	5.6150687600117628
0.0	102.0	10.564587727301019	5.5194281104477589
0.0	103.0	10.713142182848989	0.90529925744952922
0.0	104.0	14.385690163888173	13.646314660502856
0.0	105.0	4.3155023750737689	3.7479414354022302
0.0	106.0	2.0026652318989608	0.0
0.0	107.0	1.9251344348165098	0.10905041266720343
0.0	108.0	6.5214411923094939	2.1267929900008471
0.0	109.0	10.471549659743545	7.6161568233790673
0.0	110.0	4.0602292882877107	3.5104450879279248
0.0	111.0	9.3851991959552041	8.6802377867179885
0.0	112.0	4.0736290576472713	0.14959711644474577
0.0	113.0	4.7836055691534449	4.2300965524442518
0.0	114.0	1.973601337106089	0.0
0.0	115.0	15.974167362137948	13.070258664890089
0.0	116.0	7.8649901846346442	1.7595463439394707
0.0	117.0	2.7334661639031075	0.0
0.0	118.0	2.8186148851363662	1.8665357569064407
0.0	119.0	20.759161143012438	5.0790128608082448
0.0	120.0	2.3717595189862499	0.0
0.0	121.0	16.615074578929139	13.0503355416313
0.0	122.0	0.42690711187826208	0.0
0.0	123.0	3.231981511440615	0.0
0.0	124.0	0.78147139369556884	0.34301388278208889
0.0	125.0	2.9181212161202637	0.0
0.0	126.0	6.1611802350060483	2.4818053480272346
0.0	127.0	11.15660556823584	5.9666287814554106
0.0	128.0	1.5548800495711712	0.0047287492846830627
0.0	129.0	18.125289515978203	9.4974191065006472
0.0	130.0	16.501338444778572	15.701532181805607
0.0	131.0	1.8699582614573222	0.0
0.0	132.0	3.3018747725036226	0.0
