name	forma	varietas	subspecies	species	species subgroup	species group	subgenus	genus	subtribe	tribe	subfamily	family	superfamily	parvorder	infraorder	suborder	order	superorder	infraclass	subclass	class	superclass	subphylum	phylum	superphylum	subkingdom	kingdom	superkingdom
Elaeis_guineensis	NA	NA	NA	51953	NA	NA	NA	51952	169729	169705	169697	4710	NA	NA	NA	NA	40551	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elaeis_oleifera	NA	NA	NA	80265	NA	NA	NA	51952	169729	169705	169697	4710	NA	NA	NA	NA	40551	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_cuspidata	NA	NA	NA	98897	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_spathacea	NA	NA	NA	136724	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_stipularis	NA	NA	NA	136725	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_asperiflora	NA	NA	NA	178420	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_fenestrata	NA	NA	NA	202382	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_amoena	NA	NA	NA	311270	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_atratiflora	NA	NA	NA	311271	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_caespitosa	NA	NA	NA	311272	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_capensis	NA	NA	NA	311273	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_coleura	NA	NA	NA	311274	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_equisetacea	NA	NA	NA	311275	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_esterhuyseniae	NA	NA	NA	311276	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_extensa	NA	NA	NA	311277	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_filacea	NA	NA	NA	311278	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_fistulosa	NA	NA	NA	311279	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_fucata	NA	NA	NA	311280	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_galpinii	NA	NA	NA	311281	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_glomerata	NA	NA	NA	311282	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_grandis	NA	NA	NA	311283	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_grandispicata	NA	NA	NA	311284	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_hutchinsonii	NA	NA	NA	311285	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_intermedia	NA	NA	NA	311286	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_juncea	NA	NA	NA	311287	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_muirii	NA	NA	NA	311288	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_neesii	NA	NA	NA	311289	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_persistens	NA	NA	NA	311290	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_prominens	NA	NA	NA	311291	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_racemosa	NA	NA	NA	311292	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_rigida	NA	NA	NA	311293	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_squamosa	NA	NA	NA	311294	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_stokoei	NA	NA	NA	311295	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_thyrsifera	NA	NA	NA	311296	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_thyrsoidea	NA	NA	NA	311297	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_vaginulata	NA	NA	NA	311298	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elegia_verreauxii	NA	NA	NA	311299	NA	NA	NA	13503	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Thamnochortus_argenteus	NA	NA	NA	48739	NA	NA	NA	48738	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Thamnochortus_cinereus	NA	NA	NA	136753	NA	NA	NA	48738	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Thamnochortus_spicigerus	NA	NA	NA	136754	NA	NA	NA	48738	NA	NA	NA	14107	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
