taxon	marker	marker.1	marker.2	marker.3	marker.4	
Galeopterus variegatus	AY011593	AF203762	AY011223	HM764956	HM764717	
Cynocephalus volans	JN633186	EU142186	AF535031	HM764957	HM764718	
Aotus azarai	HM763261	HM759102	HM765175	HM764909	HM764813	
Aotus griseimembra	HM763264	HM759104	HM765178	HM764901	HM764815	
