taxon	ApoB	Rag1	BRCA1	ENAM	IRBP	vWF	
Pseudochirulus caroli	GU199271	GU199311	GU199277	GU199298	GU199305	GU199317	
Pseudochirulus canescens	GU199270	GU199310	GU199276	GU199297	GU199304	GU199316	
Pseudochirulus herbertensis	FJ623983	FJ624046	AY243448	GU199300	FJ624022	FJ624069	
Pseudochirulus forbesi	GU199272	GU199312	GU199278	GU199299	GU199306	GU199318	
Pseudochirulus mayeri	FJ623984	FJ624047	FJ624003	GU199301	FJ624023	FJ624070	
