taxon	cytb	12S-ribosomal-RNA	tRNA-Val	embryonic-globin	IRBP	beta-fibrinogen	protamine-P1	
Pseudantechinus mimulus	EU086673,EU086674	EU086643,EU086644	EU086656,EU086655	EU086628	EU086687	EU086666		
Pseudantechinus macdonnellensis	M99458,EU086677,EU086672	AF009885,EU086647,EU086642	EU086659,EU086654	EU086632,EU086627	EU086686,EU086688	EU086665	L35337	
Pseudantechinus woolleyae	U07593,EU086675	AF009883,EU086645	EU086657,AY528910	EU086625,EU086630	AY532672	AY531242	AF010279	
Pseudantechinus bilarni	U07588	AF009884	AY528909	EU086623	AY532671	AY531241	AF010277	
Pseudantechinus ningbing	U07592	AF009896	AY528912	EU086629	AY532674	AY531244	AF010278	
Pseudantechinus roryi	EU086676,EU086679,EU086678	EU086648,EU086641,EU086651	EU086653,EU086658,EU086663,EU086660	EU086635,EU086634,EU086637	EU086689,EU086685,AY532673	AY531243,EU086664,EU086667		
