taxon	unknown	unknown.1	unknown.2	unknown.3	von-Willebrand-factor	BRCA1	cytb	RAG1	DMP1	ttr	
Philander mcilhennyi	JQ388613,JQ388611,JQ388612,U34680		AF257697,AF257706	AJ628386	FJ159363	FJ159313		DQ865916	DQ083154	AJ628405	
Didelphis albiventris	AJ487004,U34667	JN638895,JN638965,JN638972	AF257682,AF257683	AJ628373,AF128227	FJ159333	FJ159283	AF089797,AF089801,AF089796	DQ865888	DQ083125	AJ628392	
Philander frenatus	JQ778961,JQ778959,GU112939,JQ778966	GU112848,GU112856,GU112851	AY233786,AY233787		FJ159362	FJ159312		DQ865915	DQ083153		
Philander opossum	AJ487009,DQ236274,DQ236277,U34678	JF457849,JF457867,JF457850	AY233788,AY233789	AF128228,AJ628387	FJ159364	FJ159314		DQ865917	DQ083155	AJ628406	
Didelphis aurita	GU112884,GU112879,GU112880	JN638984,GU112792,JN638985					AF089798				
Didelphis virginiana	HM589699,HM222715	HQ451898,JF444949,HQ451900	Z11814,AF257678	AY012091,JN393214	AF226848,FJ159335,JN415020	FJ159285,AF497261		DQ865890	DQ083127		
Philander andersoni	JQ388603,JQ388604,JQ388602	JF457840,JF457841,EU095477									
Didelphis marsupialis	JF837461,HM589702,DQ236279	HQ451902,JF457719,HQ451901	AF257703,AF257708	AJ628374	FJ159334	FJ159284	AF089799,JQ478421,AF089800	DQ865889	DQ083126	AJ628393	
Didelphis pernigra		JF457752									
Didelphis imperfecta		JF457704,JQ601074,JF457714									
